day,pnl,low,high,trades,halted
2016-01-07,-18.48,-58.19,32.01,1,
2016-01-08,-195.36,-195.36,0.0,1,
2016-01-11,-187.72,-187.72,79.99,1,
2016-01-12,0.0,0.0,0.0,0,
2016-01-13,628.38,-34.25,639.65,1,
2016-01-14,33.08,-233.34,189.94,2,
2016-01-15,0.0,0.0,0.0,0,
2016-01-19,0.0,0.0,0.0,0,
2016-01-20,-191.52,-191.52,201.74,1,
2016-01-21,-388.8,-388.8,0.0,2,
2016-01-22,0.0,0.0,0.0,0,
2016-01-25,0.0,0.0,0.0,0,
2016-01-26,0.0,0.0,0.0,0,
2016-01-27,-190.75,-190.75,0.0,1,
2016-01-28,0.0,0.0,0.0,0,
2016-01-29,362.1,-59.7,366.3,1,
2016-02-01,0.0,0.0,0.0,0,
2016-02-02,286.52,-77.74,398.06,1,
2016-02-03,-384.98,-384.98,88.22,2,
2016-02-04,0.0,0.0,0.0,0,
2016-02-05,580.32,-72.54,608.66,1,
2016-02-08,-157.08,-178.09,56.21,1,
2016-02-09,0.0,0.0,0.0,0,
2016-02-10,-187.32,-187.32,19.74,1,
2016-02-11,0.0,0.0,0.0,0,
2016-02-12,0.0,0.0,0.0,0,
2016-02-16,0.0,0.0,0.0,0,
2016-02-17,84.32,-31.04,117.17,1,
2016-02-18,0.0,0.0,0.0,0,
2016-02-19,0.0,0.0,0.0,0,
2016-02-22,0.0,0.0,0.0,0,
2016-02-23,0.0,0.0,0.0,0,
2016-02-24,0.0,0.0,0.0,0,
2016-02-25,0.0,0.0,0.0,0,
2016-02-26,0.0,0.0,0.0,0,
2016-02-29,-193.12,-193.12,17.34,1,
2016-03-01,212.76,-12.42,248.58,1,
2016-03-02,0.0,0.0,0.0,0,
2016-03-03,-187.92,-187.92,14.79,1,
2016-03-04,-188.1,-188.1,67.95,1,
2016-03-07,-188.48,-188.48,10.85,1,
2016-03-08,0.0,0.0,0.0,0,
2016-03-09,0.0,0.0,0.0,0,
2016-03-10,-380.89,-380.89,23.86,2,
2016-03-11,0.0,0.0,0.0,0,
2016-03-14,0.0,0.0,0.0,0,
2016-03-15,0.0,0.0,0.0,0,
2016-03-16,70.18,-43.21,145.29,1,
2016-03-17,0.0,0.0,0.0,0,
2016-03-18,-184.8,-184.8,0.0,1,
2016-03-21,0.0,0.0,0.0,0,
2016-03-22,-59.28,-80.34,31.46,1,
2016-03-23,123.14,-84.08,226.07,1,
2016-03-24,0.0,0.0,0.0,0,
2016-03-28,0.0,0.0,0.0,0,
2016-03-29,441.04,-51.43,481.37,1,
2016-03-30,-190.82,-190.82,14.79,1,
2016-03-31,0.0,0.0,0.0,0,
2016-04-01,170.23,-49.01,191.69,1,
2016-04-04,-188.16,-188.16,55.02,1,
2016-04-05,0.0,0.0,0.0,0,
2016-04-06,654.48,-129.06,680.35,1,
2016-04-07,186.62,-33.79,263.81,1,
2016-04-08,0.0,0.0,0.0,0,
2016-04-11,-190.08,-190.08,14.76,1,
