day,pnl,low,high,trades,halted
2016-01-07,-13.44,-42.32,23.28,1,
2016-01-08,-142.08,-142.08,0.0,1,
2016-01-11,-158.08,-158.08,67.36,1,
2016-01-12,0.0,0.0,0.0,0,
2016-01-13,437.14,-23.82,444.98,1,
2016-01-14,-6.4,-200.16,107.68,2,
2016-01-15,0.0,0.0,0.0,0,
2016-01-19,0.0,0.0,0.0,0,
2016-01-20,-109.44,-109.44,115.28,1,
2016-01-21,-342.4,-342.4,0.0,2,
2016-01-22,0.0,0.0,0.0,0,
2016-01-25,0.0,0.0,0.0,0,
2016-01-26,0.0,0.0,0.0,0,
2016-01-27,-183.12,-183.12,0.0,1,
2016-01-28,0.0,0.0,0.0,0,
2016-01-29,289.68,-47.76,293.04,1,
2016-02-01,0.0,0.0,0.0,0,
2016-02-02,264.48,-71.76,367.44,1,
2016-02-03,-301.76,-301.76,64.16,2,
2016-02-04,0.0,0.0,0.0,0,
2016-02-05,535.68,-66.96,561.84,1,
2016-02-08,-114.24,-129.52,40.88,1,
2016-02-09,0.0,0.0,0.0,0,
2016-02-10,-107.04,-107.04,11.28,1,
2016-02-11,0.0,0.0,0.0,0,
2016-02-12,0.0,0.0,0.0,0,
2016-02-16,0.0,0.0,0.0,0,
2016-02-17,84.32,-31.04,117.17,1,
2016-02-18,0.0,0.0,0.0,0,
2016-02-19,0.0,0.0,0.0,0,
2016-02-22,0.0,0.0,0.0,0,
2016-02-23,0.0,0.0,0.0,0,
2016-02-24,0.0,0.0,0.0,0,
2016-02-25,0.0,0.0,0.0,0,
2016-02-26,0.0,0.0,0.0,0,
2016-02-29,-181.76,-181.76,16.32,1,
2016-03-01,189.12,-11.04,220.96,1,
2016-03-02,0.0,0.0,0.0,0,
2016-03-03,-155.52,-155.52,12.24,1,
2016-03-04,-167.2,-167.2,60.4,1,
2016-03-07,-145.92,-145.92,8.4,1,
2016-03-08,0.0,0.0,0.0,0,
2016-03-09,0.0,0.0,0.0,0,
2016-03-10,-373.31,-373.31,16.29,2,
2016-03-11,0.0,0.0,0.0,0,
2016-03-14,0.0,0.0,0.0,0,
2016-03-15,0.0,0.0,0.0,0,
2016-03-16,58.08,-35.76,120.24,1,
2016-03-17,0.0,0.0,0.0,0,
2016-03-18,-123.2,-123.2,0.0,1,
2016-03-21,0.0,0.0,0.0,0,
2016-03-22,-54.72,-74.16,29.04,1,
2016-03-23,104.8,-71.56,192.4,1,
2016-03-24,0.0,0.0,0.0,0,
2016-03-28,0.0,0.0,0.0,0,
2016-03-29,381.44,-44.48,416.32,1,
2016-03-30,-157.92,-157.92,12.24,1,
2016-03-31,0.0,0.0,0.0,0,
2016-04-01,140.88,-40.56,158.64,1,
2016-04-04,-179.2,-179.2,52.4,1,
2016-04-05,0.0,0.0,0.0,0,
2016-04-06,484.8,-95.6,503.96,1,
2016-04-07,144.48,-26.16,204.24,1,
2016-04-08,0.0,0.0,0.0,0,
2016-04-11,-168.96,-168.96,13.12,1,
2016-04-12,-109.12,-157.36,0.0,2,
2016-04-13,24.48,-91.44,78.24,1,
2016-04-14,0.0,0.0,0.0,0,
2016-04-15,0.0,0.0,0.0,0,
2016-04-18,8.8,-159.6,40.4,1,
2016-04-19,-101.76,-151.68,109.12,2,
2016-04-20,-140.16,-140.48,16.32,1,
2016-04-21,-99.2,-99.2,16.4,1,
2016-04-22,-25.28,-48.64,95.36,1,
2016-04-25,0.0,0.0,0.0,0,
2016-04-26,92.8,-55.6,196.4,1,
2016-04-27,-145.28,-145.28,20.96,1,
2016-04-28,-115.2,-115.2,132.4,1,
2016-04-29,-286.4,-286.4,97.2,2,
2016-05-02,85.44,-18.88,117.12,1,
2016-05-03,0.0,0.0,0.0,0,
2016-05-04,0.0,0.0,0.0,0,
2016-05-05,0.0,0.0,0.0,0,
2016-05-06,0.0,0.0,0.0,0,
2016-05-09,-206.4,-206.4,28.4,2,
2016-05-10,167.04,-28.48,177.92,1,
2016-05-11,93.44,-14.62,99.52,1,
2016-05-12,-163.2,-163.2,340.4,1,
2016-05-13,-175.6,-175.6,0.0,1,
2016-05-16,332.8,-91.6,460.4,1,
2016-05-17,178.8,-173.6,282.4,2,
2016-05-18,-338.4,-338.4,61.2,2,
2016-05-19,-167.36,-167.36,117.12,1,
2016-05-20,-18.56,-54.08,139.52,1,
2016-05-23,0.0,0.0,0.0,0,
2016-05-24,250.08,0.0,264.24,1,
2016-05-25,0.0,0.0,0.0,0,
2016-05-26,0.0,0.0,0.0,0,
2016-05-27,0.0,0.0,0.0,0,
2016-05-31,0.0,0.0,0.0,0,
2016-06-01,0.0,0.0,0.0,0,
2016-06-02,-179.2,-179.2,0.0,1,
2016-06-03,-175.2,-175.2,184.4,1,
2016-06-06,0.0,0.0,0.0,0,
2016-06-07,0.0,0.0,0.0,0,
2016-06-08,0.0,0.0,0.0,0,
2016-06-09,0.0,0.0,0.0,0,
2016-06-10,-9.28,-17.6,43.36,1,
2016-06-13,0.0,0.0,0.0,0,
2016-06-14,-326.4,-326.4,28.4,2,
2016-06-15,0.0,0.0,0.0,0,
2016-06-16,-165.76,-165.76,80.32,1,
2016-06-17,135.04,-18.88,195.52,1,
2016-06-20,-148.48,-148.48,19.36,1,
2016-06-21,-123.2,-123.2,0.0,1,
2016-06-22,-159.2,-159.2,76.4,1,
2016-06-23,66.48,-41.76,73.44,1,
2016-06-24,0.0,0.0,0.0,0,
2016-06-27,146.88,-35.76,267.84,1,
2016-06-28,45.76,-95.87,64.16,1,
2016-06-29,75.52,-35.84,116.96,1,
2016-06-30,0.64,-57.28,80.32,1,
2016-07-01,-5.76,-86.08,112.32,1,
2016-07-05,-100.32,-114.96,48.72,1,
2016-07-06,10.08,-93.36,26.64,1,
2016-07-07,0.0,0.0,0.0,0,
2016-07-08,127.7,-18.94,146.66,1,
2016-07-11,-76.32,-76.32,0.0,1,
2016-07-12,0.0,0.0,0.0,0,
2016-07-13,0.0,0.0,0.0,0,
2016-07-14,0.0,0.0,0.0,0,
2016-07-15,0.0,0.0,0.0,0,
2016-07-18,56.8,0.0,114.4,1,
2016-07-19,0.0,0.0,0.0,0,
2016-07-20,94.08,-10.87,122.64,1,
2016-07-21,0.0,0.0,0.0,0,
2016-07-22,-53.76,-72.96,0.0,1,
2016-07-25,0.0,0.0,0.0,0,
2016-07-26,-220.4,-220.4,18.8,2,
2016-07-27,0.0,0.0,0.0,0,
2016-07-28,0.0,0.0,0.0,0,
2016-07-29,0.0,0.0,0.0,0,
2016-08-01,112.8,-15.6,244.4,1,
2016-08-02,146.8,0.0,464.4,1,
2016-08-03,0.0,0.0,0.0,0,
2016-08-04,-12.72,-95.6,28.4,1,
2016-08-05,-15.2,-43.6,84.4,1,
2016-08-08,-107.2,-107.2,16.36,1,
2016-08-09,-99.2,-99.2,112.0,1,
2016-08-10,-37.2,-107.6,36.96,1,
2016-08-11,0.0,0.0,0.0,0,
2016-08-12,0.0,0.0,0.0,0,
2016-08-15,24.8,-19.56,120.44,1,
2016-08-16,26.24,-69.6,70.08,1,
2016-08-17,-91.2,-91.2,112.4,1,
2016-08-18,0.0,0.0,0.0,0,
2016-08-19,0.0,0.0,0.0,0,
2016-08-22,0.0,0.0,0.0,0,
2016-08-23,0.0,0.0,0.0,0,
2016-08-24,148.8,-48.24,200.4,1,
2016-08-25,0.0,0.0,0.0,0,
2016-08-26,-206.4,-206.4,0.0,2,
2016-08-29,-166.84,-183.24,8.4,2,
2016-08-30,-19.6,-67.6,107.2,1,
2016-08-31,-143.2,-143.2,12.4,1,
2016-09-01,-210.4,-210.4,80.4,2,
2016-09-02,0.0,0.0,0.0,0,
2016-09-06,-74.4,-142.8,48.4,2,
2016-09-07,-135.2,-135.2,4.4,1,
2016-09-08,-104.4,-206.8,44.4,2,
2016-09-09,332.88,0.0,343.44,1,
2016-09-12,628.8,0.0,728.4,1,
2016-09-13,8.64,-54.08,221.12,1,
2016-09-14,-123.2,-123.2,241.0,1,
2016-09-15,536.8,-47.6,600.4,1,
2016-09-16,0.0,0.0,0.0,0,
2016-09-19,-167.2,-167.2,0.4,1,
2016-09-20,0.0,0.0,0.0,0,
2016-09-21,0.0,0.0,0.0,0,
2016-09-22,0.0,0.0,0.0,0,
2016-09-23,0.0,0.0,0.0,0,
2016-09-26,0.0,0.0,0.0,0,
2016-09-27,192.8,-91.6,228.4,1,
2016-09-28,0.0,0.0,0.0,0,
2016-09-29,-90.72,-160.56,50.64,1,
2016-09-30,44.88,-26.16,62.59,1,
2016-10-03,-131.2,-131.2,0.0,1,
2016-10-04,-159.2,-159.2,0.0,1,
2016-10-05,-111.2,-119.6,32.4,1,
2016-10-06,0.0,0.0,0.0,0,
2016-10-07,-182.24,-202.8,77.92,2,
2016-10-10,-77.76,-77.76,24.32,1,
2016-10-11,412.8,-15.0,585.2,1,
2016-10-12,0.0,0.0,0.0,0,
2016-10-13,-160.32,-160.32,33.84,1,
2016-10-14,-178.56,-178.56,29.12,1,
2016-10-17,-131.2,-131.2,0.0,1,
2016-10-18,0.0,0.0,0.0,0,
2016-10-19,0.0,0.0,0.0,0,
2016-10-20,-151.2,-151.2,22.4,1,
2016-10-21,20.8,-79.6,30.4,1,
2016-10-24,58.87,-29.76,67.42,1,
2016-10-25,36.8,-55.2,68.4,1,
