day,side,qty,entry_ts,entry_px,exit_ts,exit_px,stop_px,pnl,reason_in,reason_out
2016-01-07,-1,1,2016-01-07 13:00:00-06:00,105.181,2016-01-07 14:52:00-06:00,105.349,106.83,-13.44,short: close 105.21 < lower 105.47,flatten
2016-01-08,1,2,2016-01-08 09:00:00-06:00,106.289,2016-01-08 09:30:00-06:00,105.75099999999999,105.42,-86.08,long: close 106.28 > upper 106.14,exit long: close 105.76 < upper 106.45
2016-01-11,-1,2,2016-01-11 12:30:00-06:00,103.231,2016-01-11 13:30:00-06:00,103.799,104.2,-90.88,short: close 103.25 < lower 103.44,exit short: close 103.78 > lower 103.37
2016-01-13,-1,2,2016-01-13 11:00:00-06:00,104.5911,2016-01-13 14:52:00-06:00,101.85900000000001,105.41,437.14,short: close 104.61 < lower 104.97,flatten
2016-01-14,-1,3,2016-01-14 09:00:00-06:00,100.89099999999999,2016-01-14 09:16:00-06:00,101.58900000000001,101.57000000000001,-167.52,short: close 100.91 < lower 101.43,stop
2016-01-14,1,2,2016-01-14 11:00:00-06:00,103.23400000000001,2016-01-14 14:52:00-06:00,104.241,102.36,161.12,long: close 103.21 > upper 102.98,flatten
2016-01-20,-1,1,2016-01-20 09:00:00-06:00,98.711,2016-01-20 13:00:00-06:00,99.80900000000001,100.06,-87.84,short: close 98.74 < lower 98.93,exit short: close 99.80 > lower 98.47
2016-01-21,-1,3,2016-01-21 09:00:00-06:00,100.08099999999999,2016-01-21 09:04:00-06:00,100.88900000000001,100.87,-193.92,short: close 100.09 < lower 100.20,stop
2016-01-21,1,2,2016-01-21 11:00:00-06:00,101.979,2016-01-21 12:00:00-06:00,101.87719999999999,101.07000000000001,-16.29,long: close 101.95 > upper 101.89,exit long: close 101.90 < upper 101.99
2016-01-27,-1,3,2016-01-27 09:30:00-06:00,101.40599999999999,2016-01-27 10:30:00-06:00,102.009,102.15,-144.72,short: close 101.43 < lower 102.12,exit short: close 101.99 > lower 101.94
