day,pnl,low,high,trades,halted
2016-01-07,-10.5,-32.25,41.25,1,
2016-01-08,120.0,-59.5,126.5,1,
2016-01-11,-137.0,-137.0,58.5,1,
2016-01-12,0.0,0.0,0.0,0,
2016-01-13,370.0,-26.5,389.5,1,
2016-01-14,-55.0,-268.5,52.6,2,
2016-01-15,0.0,0.0,0.0,0,
2016-01-19,0.0,0.0,0.0,0,
2016-01-20,-109.5,-109.5,152.25,1,
2016-01-21,-344.0,-344.0,69.25,2,
2016-01-22,0.0,0.0,0.0,0,
2016-01-25,0.0,0.0,0.0,0,
2016-01-26,61.5,-32.25,153.75,1,
2016-01-27,-168.0,-168.0,0.0,1,
2016-01-28,0.0,0.0,0.0,0,
2016-01-29,354.0,-51.75,360.75,1,
2016-02-01,0.0,0.0,0.0,0,
2016-02-02,79.0,-56.5,158.5,1,
2016-02-03,-313.0,-313.0,63.5,2,
2016-02-04,-141.0,-141.0,0.0,1,
2016-02-05,498.0,-105.0,555.0,1,
2016-02-08,-111.5,-148.5,164.5,1,
2016-02-09,0.0,0.0,0.0,0,
2016-02-10,0.0,0.0,0.0,0,
2016-02-11,0.0,0.0,0.0,0,
2016-02-12,0.0,0.0,0.0,0,
2016-02-16,0.0,0.0,0.0,0,
2016-02-17,23.0,-28.5,71.5,1,
2016-02-18,0.0,0.0,0.0,0,
2016-02-19,0.0,0.0,0.0,0,
2016-02-22,0.0,0.0,0.0,0,
2016-02-23,12.0,-30.5,67.4,1,
2016-02-24,-167.0,-167.0,33.5,1,
2016-02-25,0.0,0.0,0.0,0,
2016-02-26,0.0,0.0,0.0,0,
2016-02-29,-185.0,-185.0,8.75,1,
2016-03-01,172.0,-21.51,217.5,1,
2016-03-02,0.0,0.0,0.0,0,
2016-03-03,0.0,0.0,0.0,0,
2016-03-04,-305.0,-305.0,33.75,2,
2016-03-07,0.0,0.0,0.0,0,
2016-03-08,-181.5,-181.5,24.15,1,
2016-03-09,0.0,0.0,0.0,0,
2016-03-10,-309.0,-309.0,41.25,2,
2016-03-11,42.0,-40.5,47.5,1,
2016-03-14,0.0,0.0,0.0,0,
2016-03-15,0.0,0.0,0.0,0,
