day,pnl,low,high,trades,halted
2016-01-07,0.0,0.0,0.0,0,
2016-01-08,0.0,0.0,0.0,0,
2016-01-11,0.0,0.0,0.0,0,
2016-01-12,0.0,0.0,0.0,0,
2016-01-13,0.0,0.0,0.0,0,
2016-01-14,-194.88,-194.88,33.81,1,
2016-01-15,0.0,0.0,0.0,0,
2016-01-19,0.0,0.0,0.0,0,
2016-01-20,-184.56,-184.56,168.12,1,
2016-01-21,0.0,0.0,0.0,0,
2016-01-22,0.0,0.0,0.0,0,
2016-01-25,0.0,0.0,0.0,0,
2016-01-26,0.0,0.0,0.0,0,
2016-01-27,-194.6,-194.6,0.0,1,
2016-01-28,0.0,0.0,0.0,0,
2016-01-29,294.48,-42.96,297.84,1,
2016-02-01,0.0,0.0,0.0,0,
2016-02-02,0.0,0.0,0.0,0,
2016-02-03,-185.28,-185.28,91.36,1,
2016-02-04,0.0,0.0,0.0,0,
2016-02-05,424.08,-53.01,444.79,1,
2016-02-08,0.0,0.0,0.0,0,
2016-02-09,0.0,0.0,0.0,0,
2016-02-10,0.0,0.0,0.0,0,
2016-02-11,0.0,0.0,0.0,0,
2016-02-12,0.0,0.0,0.0,0,
2016-02-16,0.0,0.0,0.0,0,
2016-02-17,0.0,0.0,0.0,0,
2016-02-18,0.0,0.0,0.0,0,
2016-02-19,0.0,0.0,0.0,0,
2016-02-22,0.0,0.0,0.0,0,
2016-02-23,0.0,0.0,0.0,0,
2016-02-24,0.0,0.0,0.0,0,
2016-02-25,0.0,0.0,0.0,0,
2016-02-26,0.0,0.0,0.0,0,
2016-02-29,0.0,0.0,0.0,0,
2016-03-01,192.32,0.0,224.16,1,
2016-03-02,0.0,0.0,0.0,0,
2016-03-03,0.0,0.0,0.0,0,
2016-03-04,0.0,0.0,0.0,0,
2016-03-07,0.0,0.0,0.0,0,
2016-03-08,0.0,0.0,0.0,0,
2016-03-09,0.0,0.0,0.0,0,
2016-03-10,0.0,0.0,0.0,0,
2016-03-11,0.0,0.0,0.0,0,
2016-03-14,0.0,0.0,0.0,0,
2016-03-15,0.0,0.0,0.0,0,
2016-03-16,0.0,0.0,0.0,0,
2016-03-17,0.0,0.0,0.0,0,
2016-03-18,-188.16,-188.16,0.0,1,
2016-03-21,0.0,0.0,0.0,0,
2016-03-22,0.0,0.0,0.0,0,
2016-03-23,0.0,0.0,0.0,0,
2016-03-24,0.0,0.0,0.0,0,
2016-03-28,0.0,0.0,0.0,0,
2016-03-29,0.0,0.0,0.0,0,
2016-03-30,-192.64,-192.64,19.88,1,
2016-03-31,0.0,0.0,0.0,0,
2016-04-01,135.01,-38.87,152.03,1,
2016-04-04,0.0,0.0,0.0,0,
2016-04-05,0.0,0.0,0.0,0,
2016-04-06,251.43,-8.73,265.32,1,
2016-04-07,156.52,-28.34,221.26,1,
2016-04-08,0.0,0.0,0.0,0,
2016-04-11,0.0,0.0,0.0,0,
2016-04-12,-191.2,-191.2,0.0,1,
2016-04-13,27.54,-102.87,88.02,1,
2016-04-14,0.0,0.0,0.0,0,
