day,side,qty,entry_ts,entry_px,exit_ts,exit_px,stop_px,pnl,reason_in,reason_out
2016-01-14,-1,21,2016-01-14 09:00:00-06:00,100.89099999999999,2016-01-14 09:17:00-06:00,101.819,101.8,-194.88,short: close 100.91 < lower 101.19,stop
2016-01-20,-1,12,2016-01-20 09:30:00-06:00,98.67099999999999,2016-01-20 13:55:00-06:00,100.209,100.19,-184.56,short: close 98.69 < lower 98.76,stop
2016-01-27,-1,20,2016-01-27 09:30:00-06:00,101.40599999999999,2016-01-27 10:36:00-06:00,102.379,102.36,-194.6,short: close 101.43 < lower 101.91,stop
2016-01-29,1,24,2016-01-29 09:30:00-06:00,102.879,2016-01-29 14:52:00-06:00,104.106,102.11,294.48,long: close 102.86 > upper 102.76,flatten
2016-02-03,-1,16,2016-02-03 09:30:00-06:00,100.451,2016-02-03 13:24:00-06:00,101.60900000000001,101.59,-185.28,short: close 100.47 < lower 101.34,stop
2016-02-05,-1,19,2016-02-05 09:00:00-06:00,100.14099999999999,2016-02-05 14:52:00-06:00,97.909,101.11,424.08,short: close 100.15 < lower 100.50,flatten
2016-03-01,1,16,2016-03-01 10:00:00-06:00,104.289,2016-03-01 14:52:00-06:00,105.491,103.09,192.32,long: close 104.27 > upper 104.19,flatten
2016-03-18,-1,42,2016-03-18 09:00:00-05:00,106.92099999999999,2016-03-18 10:01:00-05:00,107.36900000000001,107.35000000000001,-188.16,short: close 106.94 < lower 107.05,stop
2016-03-30,1,28,2016-03-30 09:30:00-05:00,109.869,2016-03-30 10:37:00-05:00,109.181,109.2,-192.64,long: close 109.85 > upper 109.81,stop
2016-04-01,1,23,2016-04-01 10:00:00-05:00,109.71900000000001,2016-04-01 14:52:00-05:00,110.306,108.92,135.01,long: close 109.71 > upper 109.69,flatten
2016-04-06,1,29,2016-04-06 10:00:00-05:00,109.674,2016-04-06 14:52:00-05:00,110.541,109.02,251.43,long: close 109.66 > upper 109.60,flatten
2016-04-07,-1,26,2016-04-07 09:30:00-05:00,109.50099999999999,2016-04-07 14:52:00-05:00,108.899,110.22,156.52,short: close 109.52 < lower 109.63,flatten
2016-04-12,-1,40,2016-04-12 09:30:00-05:00,108.131,2016-04-12 09:31:00-05:00,108.60900000000001,108.59,-191.2,short: close 108.15 < lower 108.18,stop
2016-04-13,1,27,2016-04-13 09:00:00-05:00,110.744,2016-04-13 14:52:00-05:00,110.84599999999999,110.04,27.54,long: close 110.72 > upper 110.63,flatten
2016-04-18,1,31,2016-04-18 09:30:00-05:00,111.159,2016-04-18 14:52:00-05:00,111.181,110.56,6.82,long: close 111.14 > upper 111.08,flatten
2016-04-19,-1,46,2016-04-19 09:00:00-05:00,110.651,2016-04-19 14:52:00-05:00,110.569,111.04,37.72,short: close 110.68 < lower 110.94,flatten
2016-04-22,-1,16,2016-04-22 10:00:00-05:00,108.271,2016-04-22 14:52:00-05:00,108.924,109.47,-104.48,short: close 108.28 < lower 108.72,flatten
2016-04-27,-1,18,2016-04-27 09:30:00-05:00,106.821,2016-04-27 14:52:00-05:00,107.619,107.87,-143.64,short: close 106.84 < lower 106.86,flatten
2016-04-28,1,32,2016-04-28 10:00:00-05:00,108.284,2016-04-28 12:04:00-05:00,107.691,107.71000000000001,-189.76,long: close 108.26 > upper 108.21,stop
2016-04-29,-1,45,2016-04-29 09:00:00-05:00,105.681,2016-04-29 14:52:00-05:00,105.77900000000001,106.08,-44.1,short: close 105.71 < lower 105.87,flatten
2016-05-09,1,44,2016-05-09 09:00:00-05:00,106.16900000000001,2016-05-09 09:30:00-05:00,105.741,105.76,-188.32,long: close 106.16 > upper 106.01,stop
2016-05-12,-1,27,2016-05-12 10:00:00-05:00,105.69099999999999,2016-05-12 13:48:00-05:00,106.409,106.39,-193.86,short: close 105.72 < lower 105.83,stop
2016-05-16,1,30,2016-05-16 10:00:00-05:00,106.30890000000001,2016-05-16 14:52:00-05:00,106.881,105.69,171.63,long: close 106.29 > upper 106.21,flatten
2016-05-17,-1,40,2016-05-17 09:30:00-05:00,106.223,2016-05-17 14:52:00-05:00,105.49900000000001,106.68,289.6,short: close 106.25 < lower 106.31,flatten
2016-05-18,1,36,2016-05-18 09:30:00-05:00,106.21900000000001,2016-05-18 13:05:00-05:00,105.691,105.71000000000001,-190.08,long: close 106.21 > upper 105.90,stop
2016-05-19,-1,29,2016-05-19 09:00:00-05:00,104.916,2016-05-19 14:52:00-05:00,105.41900000000001,105.57000000000001,-145.87,short: close 104.94 < lower 105.00,flatten
2016-05-20,1,28,2016-05-20 09:00:00-05:00,106.44900000000001,2016-05-20 14:52:00-05:00,106.39099999999999,105.79,-16.24,long: close 106.43 > upper 106.19,flatten
2016-05-24,1,23,2016-05-24 09:00:00-05:00,107.46900000000001,2016-05-24 14:52:00-05:00,108.511,106.65,239.66,long: close 107.44 > upper 107.43,flatten
2016-06-03,-1,32,2016-06-03 09:00:00-05:00,109.83099999999999,2016-06-03 14:52:00-05:00,110.1765,110.41,-110.56,short: close 109.87 < lower 109.90,flatten
2016-06-14,-1,35,2016-06-14 10:30:00-05:00,107.261,2016-06-14 11:25:00-05:00,107.799,107.78,-188.3,short: close 107.27 < lower 107.38,stop
2016-06-16,-1,30,2016-06-16 09:00:00-05:00,106.771,2016-06-16 11:39:00-05:00,107.399,107.38,-188.4,short: close 106.80 < lower 106.84,stop
