day,side,qty,entry_ts,entry_px,exit_ts,exit_px,stop_px,pnl,reason_in,reason_out
2016-01-14,-1,21,2016-01-14 09:00:00-06:00,100.89099999999999,2016-01-14 09:17:00-06:00,101.819,101.8,-194.88,short: close 100.91 < lower 101.19,stop
2016-01-20,-1,12,2016-01-20 09:30:00-06:00,98.67099999999999,2016-01-20 12:00:00-06:00,98.41900000000001,100.19,30.24,short: close 98.69 < lower 98.76,exit short: close 98.40 > lower 98.34
2016-01-27,-1,20,2016-01-27 09:30:00-06:00,101.40599999999999,2016-01-27 10:00:00-06:00,101.77900000000001,102.36,-74.6,short: close 101.43 < lower 101.91,exit short: close 101.76 > lower 101.70
2016-01-29,1,24,2016-01-29 09:30:00-06:00,102.879,2016-01-29 10:00:00-06:00,102.731,102.11,-35.52,long: close 102.86 > upper 102.76,exit long: close 102.75 < upper 102.80
2016-02-03,-1,16,2016-02-03 09:30:00-06:00,100.451,2016-02-03 13:24:00-06:00,101.60900000000001,101.59,-185.28,short: close 100.47 < lower 101.34,stop
2016-02-05,-1,19,2016-02-05 09:00:00-06:00,100.14099999999999,2016-02-05 14:52:00-06:00,97.909,101.11,424.08,short: close 100.15 < lower 100.50,flatten
2016-03-01,1,16,2016-03-01 10:00:00-06:00,104.289,2016-03-01 14:52:00-06:00,105.491,103.09,192.32,long: close 104.27 > upper 104.19,flatten
2016-03-18,-1,42,2016-03-18 09:00:00-05:00,106.92099999999999,2016-03-18 10:00:00-05:00,107.30900000000001,107.35000000000001,-162.96,short: close 106.94 < lower 107.05,exit short: close 107.29 > lower 106.98
2016-03-30,1,28,2016-03-30 09:30:00-05:00,109.869,2016-03-30 10:00:00-05:00,109.841,109.2,-7.84,long: close 109.85 > upper 109.81,exit long: close 109.86 < upper 110.04
2016-04-01,1,23,2016-04-01 10:00:00-05:00,109.71900000000001,2016-04-01 11:30:00-05:00,109.592,108.92,-29.21,long: close 109.71 > upper 109.69,exit long: close 109.61 < upper 109.84
2016-04-06,1,29,2016-04-06 10:00:00-05:00,109.674,2016-04-06 14:52:00-05:00,110.541,109.02,251.43,long: close 109.66 > upper 109.60,flatten
2016-04-07,-1,26,2016-04-07 09:30:00-05:00,109.50099999999999,2016-04-07 11:30:00-05:00,109.32900000000001,110.22,44.72,short: close 109.52 < lower 109.63,exit short: close 109.32 > lower 109.31
2016-04-12,-1,40,2016-04-12 09:30:00-05:00,108.131,2016-04-12 09:31:00-05:00,108.60900000000001,108.59,-191.2,short: close 108.15 < lower 108.18,stop
2016-04-13,1,27,2016-04-13 09:00:00-05:00,110.744,2016-04-13 10:00:00-05:00,110.491,110.04,-68.31,long: close 110.72 > upper 110.63,exit long: close 110.52 < upper 110.98
2016-04-18,1,31,2016-04-18 09:30:00-05:00,111.159,2016-04-18 10:00:00-05:00,111.151,110.56,-2.48,long: close 111.14 > upper 111.08,exit long: close 111.17 < upper 111.19
2016-04-19,-1,46,2016-04-19 09:00:00-05:00,110.651,2016-04-19 09:30:00-05:00,110.869,111.04,-100.28,short: close 110.68 < lower 110.94,exit short: close 110.85 > lower 110.72
2016-04-22,-1,16,2016-04-22 10:00:00-05:00,108.271,2016-04-22 13:00:00-05:00,108.71900000000001,109.47,-71.68,short: close 108.28 < lower 108.72,exit short: close 108.69 > lower 108.53
2016-04-27,-1,18,2016-04-27 09:30:00-05:00,106.821,2016-04-27 10:00:00-05:00,106.944,107.87,-22.14,short: close 106.84 < lower 106.86,exit short: close 106.92 > lower 106.78
2016-04-28,1,32,2016-04-28 10:00:00-05:00,108.284,2016-04-28 10:30:00-05:00,108.25099999999999,107.71000000000001,-10.56,long: close 108.26 > upper 108.21,exit long: close 108.26 < upper 108.27
2016-04-29,-1,45,2016-04-29 09:00:00-05:00,105.681,2016-04-29 12:30:00-05:00,105.799,106.08,-53.1,short: close 105.71 < lower 105.87,exit short: close 105.78 > lower 105.67
2016-05-09,1,44,2016-05-09 09:00:00-05:00,106.16900000000001,2016-05-09 09:30:00-05:00,105.80099999999999,105.76,-161.92,long: close 106.16 > upper 106.01,exit long: close 105.82 < upper 106.03
2016-05-12,-1,27,2016-05-12 10:00:00-05:00,105.69099999999999,2016-05-12 13:00:00-05:00,105.771,106.39,-21.6,short: close 105.72 < lower 105.83,exit short: close 105.75 > lower 105.67
2016-05-16,1,30,2016-05-16 10:00:00-05:00,106.30890000000001,2016-05-16 14:52:00-05:00,106.881,105.69,171.63,long: close 106.29 > upper 106.21,flatten
2016-05-17,-1,40,2016-05-17 09:30:00-05:00,106.223,2016-05-17 10:00:00-05:00,106.459,106.68,-94.4,short: close 106.25 < lower 106.31,exit short: close 106.45 > lower 106.20
2016-05-18,1,36,2016-05-18 09:30:00-05:00,106.21900000000001,2016-05-18 10:00:00-05:00,105.851,105.71000000000001,-132.48,long: close 106.21 > upper 105.90,exit long: close 105.86 < upper 106.00
2016-05-19,-1,29,2016-05-19 09:00:00-05:00,104.916,2016-05-19 09:30:00-05:00,105.02900000000001,105.57000000000001,-32.77,short: close 104.94 < lower 105.00,exit short: close 105.01 > lower 104.96
2016-05-19,-1,26,2016-05-19 10:00:00-05:00,104.786,2016-05-19 10:30:00-05:00,104.82900000000001,105.51,-11.18,short: close 104.80 < lower 104.93,exit short: close 104.78 > lower 104.73
2016-05-20,1,28,2016-05-20 09:00:00-05:00,106.44900000000001,2016-05-20 13:00:00-05:00,106.476,105.79,7.56,long: close 106.43 > upper 106.19,exit long: close 106.50 < upper 106.62
2016-05-24,1,23,2016-05-24 09:00:00-05:00,107.46900000000001,2016-05-24 14:52:00-05:00,108.511,106.65,239.66,long: close 107.44 > upper 107.43,flatten
2016-06-03,-1,32,2016-06-03 09:00:00-05:00,109.83099999999999,2016-06-03 10:00:00-05:00,109.899,110.41,-21.76,short: close 109.87 < lower 109.90,exit short: close 109.87 > lower 109.75
2016-06-14,-1,35,2016-06-14 10:30:00-05:00,107.261,2016-06-14 11:00:00-05:00,107.429,107.78,-58.8,short: close 107.27 < lower 107.38,exit short: close 107.42 > lower 107.40
