day,pnl,low,high,trades,halted
2016-01-07,0.0,0.0,0.0,0,
2016-01-08,0.0,0.0,0.0,0,
2016-01-11,0.0,0.0,0.0,0,
2016-01-12,0.0,0.0,0.0,0,
2016-01-13,0.0,0.0,0.0,0,
2016-01-14,-185.6,-185.6,26.4,1,
2016-01-15,0.0,0.0,0.0,0,
2016-01-19,0.0,0.0,0.0,0,
2016-01-20,-28.0,-45.15,189.35,1,
2016-01-21,0.0,0.0,0.0,0,
2016-01-22,0.0,0.0,0.0,0,
2016-01-25,0.0,0.0,0.0,0,
2016-01-26,0.0,0.0,0.0,0,
2016-01-27,0.0,0.0,0.0,0,
2016-01-28,0.0,0.0,0.0,0,
2016-01-29,-19.6,-19.6,60.9,1,
2016-02-01,0.0,0.0,0.0,0,
2016-02-02,0.0,0.0,0.0,0,
2016-02-03,-106.2,-106.2,57.15,1,
2016-02-04,0.0,0.0,0.0,0,
2016-02-05,146.7,-65.25,172.35,1,
2016-02-08,14.42,-46.42,67.9,2,
2016-02-09,0.0,0.0,0.0,0,
2016-02-10,0.0,0.0,0.0,0,
2016-02-11,0.0,0.0,0.0,0,
2016-02-12,0.0,0.0,0.0,0,
2016-02-16,0.0,0.0,0.0,0,
2016-02-17,0.0,0.0,0.0,0,
2016-02-18,0.0,0.0,0.0,0,
2016-02-19,0.0,0.0,0.0,0,
2016-02-22,0.0,0.0,0.0,0,
2016-02-23,0.0,0.0,0.0,0,
2016-02-24,0.0,0.0,0.0,0,
2016-02-25,0.0,0.0,0.0,0,
2016-02-26,0.0,0.0,0.0,0,
2016-02-29,0.0,0.0,0.0,0,
2016-03-01,102.6,-7.2,143.55,1,
2016-03-02,0.0,0.0,0.0,0,
2016-03-03,0.0,0.0,0.0,0,
2016-03-04,0.0,0.0,0.0,0,
2016-03-07,0.0,0.0,0.0,0,
2016-03-08,0.0,0.0,0.0,0,
2016-03-09,0.0,0.0,0.0,0,
2016-03-10,-156.0,-156.0,39.6,1,
2016-03-11,0.0,0.0,0.0,0,
2016-03-14,0.0,0.0,0.0,0,
2016-03-15,0.0,0.0,0.0,0,
2016-03-16,0.0,0.0,0.0,0,
2016-03-17,0.0,0.0,0.0,0,
2016-03-18,0.0,0.0,0.0,0,
2016-03-21,0.0,0.0,0.0,0,
2016-03-22,0.0,0.0,0.0,0,
2016-03-23,0.0,0.0,0.0,0,
2016-03-24,0.0,0.0,0.0,0,
2016-03-28,0.0,0.0,0.0,0,
2016-03-29,0.0,0.0,0.0,0,
2016-03-30,0.0,0.0,0.0,0,
2016-03-31,0.0,0.0,0.0,0,
2016-04-01,0.0,0.0,0.0,0,
2016-04-04,0.0,0.0,0.0,0,
2016-04-05,0.0,0.0,0.0,0,
2016-04-06,22.0,-7.7,145.82,1,
2016-04-07,-39.9,-54.0,0.0,1,
2016-04-08,0.0,0.0,0.0,0,
2016-04-11,-182.5,-182.5,86.25,1,
2016-04-12,140.68,-30.45,248.85,1,
2016-04-13,0.0,0.0,0.0,0,
2016-04-14,0.0,0.0,0.0,0,
