day,side,qty,entry_ts,entry_px,exit_ts,exit_px,stop_px,pnl,reason_in,reason_out
2016-01-14,-1,16,2016-01-14 09:00:00-06:00,187.895,2016-01-14 09:17:00-06:00,189.05499999999998,189.01,-185.6,short: close 187.94 < lower 188.09,stop
2016-01-20,-1,7,2016-01-20 09:30:00-06:00,183.75500000000002,2016-01-20 13:00:00-06:00,184.155,186.4,-28.0,short: close 183.81 < lower 183.90,exit short: close 184.11 > lower 182.76
2016-01-29,1,14,2016-01-29 09:00:00-06:00,191.195,2016-01-29 09:30:00-06:00,191.055,189.88,-19.6,long: close 191.15 > upper 190.89,exit long: close 191.11 < upper 191.28
2016-02-03,-1,9,2016-02-03 09:30:00-06:00,187.79500000000002,2016-02-03 10:00:00-06:00,188.975,189.72,-106.2,short: close 187.83 < lower 188.85,exit short: close 188.93 > lower 188.63
2016-02-05,-1,9,2016-02-05 09:30:00-06:00,189.185,2016-02-05 14:52:00-06:00,187.55499999999998,191.14000000000001,146.7,short: close 189.24 < lower 189.31,flatten
2016-02-08,-1,9,2016-02-08 09:00:00-06:00,184.525,2016-02-08 09:30:00-06:00,184.17499999999998,186.54,31.5,short: close 184.58 < lower 184.86,exit short: close 184.13 > lower 184.10
2016-02-08,-1,7,2016-02-08 10:30:00-06:00,184.03,2016-02-08 11:00:00-06:00,184.274,186.69,-17.08,short: close 184.07 < lower 184.20,exit short: close 184.22 > lower 183.71
2016-03-01,1,9,2016-03-01 10:30:00-06:00,196.52499999999998,2016-03-01 14:52:00-06:00,197.66500000000002,194.47,102.6,long: close 196.47 > upper 196.30,flatten
2016-03-10,1,24,2016-03-10 09:00:00-06:00,200.845,2016-03-10 09:30:00-06:00,200.19500000000002,200.1,-156.0,long: close 200.79 > upper 200.43,exit long: close 200.24 < upper 200.68
2016-04-06,1,22,2016-04-06 10:00:00-05:00,205.225,2016-04-06 13:30:00-05:00,205.32500000000002,204.44,22.0,long: close 205.17 > upper 205.02,exit long: close 205.37 < upper 205.57
2016-04-07,-1,19,2016-04-07 09:30:00-05:00,204.495,2016-04-07 10:00:00-05:00,204.70499999999998,205.44,-39.9,short: close 204.54 < lower 204.84,exit short: close 204.66 > lower 204.39
2016-04-11,1,25,2016-04-11 09:00:00-05:00,205.67499999999998,2016-04-11 09:59:00-05:00,204.94500000000002,204.99,-182.5,long: close 205.62 > upper 205.57,stop
2016-04-12,1,21,2016-04-12 10:00:00-05:00,205.045,2016-04-12 14:52:00-05:00,205.7149,204.20000000000002,140.68,long: close 205.00 > upper 204.95,flatten
2016-04-18,1,23,2016-04-18 09:30:00-05:00,208.58499999999998,2016-04-18 12:30:00-05:00,208.77,207.82,42.55,long: close 208.53 > upper 208.23,exit long: close 208.81 < upper 208.85
2016-04-21,-1,43,2016-04-21 09:00:00-05:00,209.485,2016-04-21 09:27:00-05:00,209.905,209.86,-180.6,short: close 209.53 < lower 209.72,stop
2016-04-29,-1,20,2016-04-29 09:00:00-05:00,206.06500000000003,2016-04-29 09:30:00-05:00,206.39499999999998,206.98000000000002,-66.0,short: close 206.12 < lower 206.19,exit short: close 206.35 > lower 206.14
2016-04-29,-1,17,2016-04-29 10:00:00-05:00,205.935,2016-04-29 12:30:00-05:00,206.05999999999997,206.98000000000002,-21.25,short: close 205.98 < lower 206.04,exit short: close 206.01 > lower 205.96
2016-05-03,-1,14,2016-05-03 09:30:00-05:00,205.895,2016-05-03 11:00:00-05:00,205.86999999999998,207.16,3.5,short: close 205.93 < lower 205.98,exit short: close 205.82 > lower 205.75
2016-05-10,1,19,2016-05-10 09:30:00-05:00,207.345,2016-05-10 14:52:00-05:00,208.305,206.42000000000002,182.4,long: close 207.29 > upper 207.22,flatten
2016-05-12,-1,16,2016-05-12 10:30:00-05:00,205.775,2016-05-12 12:00:00-05:00,206.14499999999998,206.88,-59.2,short: close 205.82 < lower 205.82,exit short: close 206.09 > lower 205.82
2016-05-16,1,28,2016-05-16 09:30:00-05:00,205.755,2016-05-16 14:52:00-05:00,206.775,205.14000000000001,285.6,long: close 205.71 > upper 205.48,flatten
2016-05-18,1,21,2016-05-18 09:30:00-05:00,205.68499999999997,2016-05-18 10:00:00-05:00,204.965,204.85,-151.2,long: close 205.65 > upper 205.49,exit long: close 205.00 < upper 205.57
2016-05-19,-1,17,2016-05-19 09:00:00-05:00,203.07500000000002,2016-05-19 09:30:00-05:00,203.48499999999999,204.13,-69.7,short: close 203.13 < lower 203.46,exit short: close 203.44 > lower 203.39
2016-05-19,-1,16,2016-05-19 10:00:00-05:00,203.01500000000001,2016-05-19 10:30:00-05:00,203.1965,204.1,-29.04,short: close 203.05 < lower 203.42,exit short: close 203.15 > lower 203.07
2016-05-20,1,18,2016-05-20 09:00:00-05:00,205.70499999999998,2016-05-20 09:30:00-05:00,205.455,204.71,-45.0,long: close 205.65 > upper 205.56,exit long: close 205.50 < upper 205.62
2016-05-20,1,18,2016-05-20 10:00:00-05:00,205.67499999999998,2016-05-20 10:30:00-05:00,205.85500000000002,204.65,32.4,long: close 205.63 > upper 205.59,exit long: close 205.89 < upper 205.89
2016-05-24,1,16,2016-05-24 09:00:00-05:00,206.92499999999998,2016-05-24 14:52:00-05:00,207.955,205.76,164.8,long: close 206.87 > upper 206.82,flatten
2016-05-25,1,15,2016-05-25 09:30:00-05:00,209.575,2016-05-25 10:00:00-05:00,209.365,208.39000000000001,-31.5,long: close 209.53 > upper 209.45,exit long: close 209.41 < upper 209.47
2016-06-03,-1,20,2016-06-03 09:00:00-05:00,209.585,2016-06-03 10:00:00-05:00,209.73499999999999,210.48000000000002,-30.0,short: close 209.63 < lower 209.68,exit short: close 209.68 > lower 209.45
