day,pnl,low,high,trades,halted
2016-01-07,-8.4,-44.2,84.8,1,
2016-01-08,-27.72,-81.36,8.64,1,
2016-01-11,-107.78,-107.78,64.26,1,
2016-01-12,0.0,0.0,0.0,0,
2016-01-13,416.96,-48.32,434.88,1,
2016-01-14,-171.76,-202.02,10.56,2,
2016-01-15,0.0,0.0,0.0,0,
2016-01-19,0.0,0.0,0.0,0,
2016-01-20,-60.32,-72.96,92.1,1,
2016-01-21,-143.46,-202.34,154.46,2,
2016-01-22,0.0,0.0,0.0,0,
2016-01-25,0.0,0.0,0.0,0,
2016-01-26,209.2,0.0,295.6,1,
2016-01-27,-103.04,-123.52,0.0,1,
2016-01-28,0.0,0.0,0.0,0,
2016-01-29,97.09,-65.16,104.76,2,
2016-02-01,0.0,0.0,0.0,0,
2016-02-02,-85.32,-95.04,20.13,2,
2016-02-03,-135.6,-135.6,83.7,1,
2016-02-04,-104.38,-110.84,89.76,1,
2016-02-05,436.32,-127.44,517.86,1,
2016-02-08,-54.88,-54.88,127.14,2,
2016-02-09,0.0,0.0,0.0,0,
2016-02-10,0.0,0.0,0.0,0,
2016-02-11,-167.84,-196.48,17.44,2,
2016-02-12,-62.48,-70.95,9.13,2,
2016-02-16,0.0,0.0,0.0,0,
2016-02-17,33.66,-25.52,77.88,1,
2016-02-18,0.0,0.0,0.0,0,
2016-02-19,0.0,0.0,0.0,0,
2016-02-22,-41.4,-44.2,0.0,1,
2016-02-23,7.82,-24.14,101.66,1,
2016-02-24,-60.33,-62.67,33.53,1,
2016-02-25,-21.6,-30.3,19.2,1,
2016-02-26,0.0,0.0,0.0,0,
2016-02-29,-61.64,-67.16,0.0,1,
2016-03-01,206.72,-36.04,276.76,1,
2016-03-02,0.0,0.0,0.0,0,
2016-03-03,0.0,0.0,0.0,0,
2016-03-04,-123.12,-123.12,0.0,1,
2016-03-07,-27.72,-27.72,39.24,1,
2016-03-08,0.0,0.0,0.0,0,
2016-03-09,0.0,0.0,0.0,0,
2016-03-10,-287.87,-330.08,33.04,2,
2016-03-11,-72.1,-72.1,0.0,2,
2016-03-14,0.0,0.0,0.0,0,
2016-03-15,0.0,0.0,0.0,0,
2016-03-16,0.0,0.0,0.0,0,
2016-03-17,291.52,-61.44,389.76,1,
2016-03-18,-85.41,-85.41,38.22,1,
2016-03-21,0.0,0.0,0.0,0,
2016-03-22,0.0,0.0,0.0,0,
2016-03-23,0.0,0.0,0.0,0,
2016-03-24,0.0,0.0,0.0,0,
2016-03-28,0.0,0.0,0.0,0,
2016-03-29,-26.1,-37.74,1.36,1,
2016-03-30,-65.76,-65.76,0.0,1,
2016-03-31,0.0,0.0,0.0,0,
2016-04-01,-58.22,-73.18,0.0,2,
2016-04-04,0.0,0.0,0.0,0,
2016-04-05,0.0,0.0,0.0,0,
2016-04-06,-217.92,-236.16,0.0,2,
2016-04-07,-105.98,-115.84,0.0,2,
2016-04-08,-99.84,-99.84,28.08,1,
2016-04-11,-238.52,-238.52,71.44,2,
2016-04-12,-85.76,-214.28,67.92,2,
2016-04-13,-129.3,-138.9,0.0,2,
2016-04-14,0.0,0.0,0.0,0,
2016-04-15,0.0,0.0,0.0,0,
2016-04-18,96.12,-35.64,130.79,1,
2016-04-19,-196.1,-196.1,44.8,2,
2016-04-20,-53.76,-54.48,83.54,1,
2016-04-21,59.02,-40.5,137.0,1,
2016-04-22,-172.8,-172.8,0.0,1,
2016-04-25,-154.04,-154.04,21.1,2,
2016-04-26,0.0,0.0,0.0,0,
2016-04-27,-56.8,-84.4,0.0,1,
2016-04-28,0.0,0.0,0.0,0,
2016-04-29,-89.92,-133.6,23.76,2,
2016-05-02,0.0,0.0,0.0,0,
2016-05-03,-0.72,-3.96,82.44,1,
2016-05-04,0.0,0.0,0.0,0,
2016-05-05,0.0,0.0,0.0,0,
2016-05-06,-15.96,-15.96,54.72,1,
2016-05-09,-74.91,-103.07,0.0,1,
2016-05-10,126.24,-72.48,148.32,1,
2016-05-11,115.46,-68.08,134.32,2,
2016-05-12,-102.08,-102.08,67.76,1,
2016-05-13,153.18,-25.76,222.64,1,
2016-05-16,348.56,-53.2,499.8,1,
2016-05-17,-225.46,-228.61,0.0,2,
2016-05-18,-365.96,-365.96,0.0,2,
2016-05-19,-104.16,-110.88,57.12,1,
2016-05-20,-96.52,-110.96,37.24,1,
2016-05-23,0.0,0.0,0.0,0,
2016-05-24,94.24,-0.38,144.02,1,
2016-05-25,25.52,0.0,115.3,1,
2016-05-26,0.0,0.0,0.0,0,
2016-05-27,0.0,0.0,0.0,0,
2016-05-31,-87.34,-87.34,37.1,2,
2016-06-01,0.0,0.0,0.0,0,
2016-06-02,0.0,0.0,0.0,0,
2016-06-03,-121.52,-121.52,103.04,1,
2016-06-06,-72.52,-72.52,17.68,2,
2016-06-07,0.0,0.0,0.0,0,
2016-06-08,0.0,0.0,0.0,0,
2016-06-09,0.0,0.0,0.0,0,
2016-06-10,0.0,0.0,0.0,0,
2016-06-13,0.0,0.0,0.0,0,
2016-06-14,-242.22,-242.22,38.82,2,
2016-06-15,0.0,0.0,0.0,0,
2016-06-16,-104.42,-104.42,29.44,1,
2016-06-17,-84.48,-84.48,184.96,1,
2016-06-20,-39.76,-39.76,40.32,1,
2016-06-21,0.0,0.0,0.0,0,
2016-06-22,-311.48,-320.72,70.72,2,
2016-06-23,-41.48,-41.48,0.34,1,
2016-06-24,0.0,0.0,0.0,0,
2016-06-27,29.88,-48.96,174.26,1,
2016-06-28,0.0,0.0,0.0,0,
2016-06-29,65.4,-18.3,107.7,1,
2016-06-30,125.16,-29.82,226.38,1,
2016-07-01,-212.68,-212.68,9.88,2,
2016-07-05,-29.26,-55.48,24.32,1,
2016-07-06,-40.8,-42.4,5.6,1,
2016-07-07,-151.34,-151.34,0.0,2,
2016-07-08,56.4,-19.8,104.7,1,
2016-07-11,-26.8,-28.4,34.9,1,
2016-07-12,0.0,0.0,0.0,0,
2016-07-13,0.0,0.0,0.0,0,
2016-07-14,0.0,0.0,0.0,0,
2016-07-15,0.0,0.0,0.0,0,
2016-07-18,0.0,0.0,0.0,0,
2016-07-19,0.0,0.0,0.0,0,
2016-07-20,0.0,0.0,0.0,0,
2016-07-21,-119.14,-119.14,0.0,2,
2016-07-22,0.0,0.0,0.0,0,
2016-07-25,55.44,-40.48,205.92,1,
2016-07-26,-333.92,-333.92,0.0,2,
2016-07-27,0.0,0.0,0.0,0,
2016-07-28,-29.68,-29.68,174.72,2,
2016-07-29,-179.52,-179.52,0.0,1,
2016-08-01,-294.56,-294.56,4.16,2,
2016-08-02,-168.48,-168.48,544.96,1,
2016-08-03,0.0,0.0,0.0,0,
2016-08-04,0.0,0.0,0.0,0,
2016-08-05,-165.74,-201.46,31.64,2,
2016-08-08,0.0,0.0,0.0,0,
2016-08-09,-229.78,-229.78,0.0,2,
2016-08-10,0.0,0.0,0.0,0,
2016-08-11,25.44,-26.88,66.72,1,
2016-08-12,-73.66,-73.66,0.0,1,
2016-08-15,-27.38,-37.74,54.65,1,
2016-08-16,0.0,0.0,0.0,0,
2016-08-17,-235.92,-252.48,0.0,2,
2016-08-18,0.0,0.0,0.0,0,
2016-08-19,-153.64,-153.64,0.0,1,
2016-08-22,0.0,0.0,0.0,0,
2016-08-23,-88.04,-90.52,0.0,1,
2016-08-24,0.0,0.0,0.0,0,
2016-08-25,0.0,0.0,0.0,0,
2016-08-26,-346.4,-346.4,0.0,2,
2016-08-29,86.14,-42.48,246.62,1,
2016-08-30,-33.3,-81.9,152.1,1,
2016-08-31,-177.7,-177.7,37.34,2,
2016-09-01,-175.38,-175.38,136.16,1,
2016-09-02,-48.5,-95.5,0.0,1,
2016-09-06,0.0,0.0,0.0,0,
2016-09-07,-203.68,-206.72,0.0,2,
2016-09-08,0.0,0.0,0.0,0,
2016-09-09,361.2,-42.4,390.6,1,
2016-09-12,289.04,-134.74,373.46,2,
2016-09-13,59.2,-40.4,207.6,1,
2016-09-14,-174.76,-174.76,53.72,1,
2016-09-15,341.12,-64.64,469.76,1,
2016-09-16,-74.17,-81.48,100.88,2,
2016-09-19,-76.82,-76.82,1.84,1,
2016-09-20,0.0,0.0,0.0,0,
2016-09-21,-70.76,-70.76,0.0,1,
2016-09-22,-53.68,-55.44,12.76,1,
2016-09-23,-91.96,-91.96,0.0,1,
2016-09-26,-127.14,-127.14,0.0,2,
2016-09-27,-78.56,-197.64,162.64,2,
2016-09-28,0.0,0.0,0.0,0,
2016-09-29,-11.52,-74.16,141.46,1,
2016-09-30,-44.66,-58.14,1.36,2,
2016-10-03,-178.2,-178.2,0.0,1,
2016-10-04,-64.78,-90.38,37.64,1,
2016-10-05,32.76,-78.52,82.68,1,
2016-10-06,-131.04,-131.04,64.08,1,
2016-10-07,-193.2,-204.12,0.0,2,
2016-10-10,-50.8,-50.8,0.0,1,
2016-10-11,296.35,-58.21,517.76,1,
2016-10-12,0.0,0.0,0.0,0,
2016-10-13,-72.72,-72.72,28.44,1,
2016-10-14,0.0,0.0,0.0,0,
2016-10-17,0.0,0.0,0.0,0,
2016-10-18,0.0,0.0,0.0,0,
2016-10-19,-73.92,-76.16,0.0,1,
2016-10-20,0.0,0.0,0.0,0,
2016-10-21,0.0,0.0,0.0,0,
2016-10-24,0.0,0.0,0.0,0,
2016-10-25,-106.2,-111.6,0.0,1,
2016-10-26,-32.8,-33.4,21.6,1,
2016-10-27,0.0,0.0,0.0,0,
2016-10-28,-182.62,-182.62,0.0,1,
2016-10-31,0.0,0.0,0.0,0,
2016-11-01,229.84,-38.08,553.52,1,
2016-11-02,0.0,0.0,0.0,0,
2016-11-03,0.0,0.0,0.0,0,
2016-11-04,-164.64,-164.64,0.0,1,
2016-11-07,51.26,-9.02,62.48,1,
2016-11-08,61.6,-21.7,251.3,1,
2016-11-09,37.68,-180.72,121.98,2,
2016-11-10,-140.64,-193.56,19.36,2,
2016-11-11,0.0,0.0,0.0,0,
2016-11-14,0.0,0.0,0.0,0,
2016-11-15,-79.8,-128.48,0.0,1,
2016-11-16,0.0,0.0,0.0,0,
2016-11-17,0.0,0.0,0.0,0,
2016-11-18,-44.27,-44.27,15.09,1,
2016-11-21,0.0,0.0,0.0,0,
2016-11-22,0.0,0.0,0.0,0,
2016-11-23,0.0,0.0,0.0,0,
2016-11-25,0.0,0.0,0.0,0,
2016-11-28,0.0,0.0,0.0,0,
2016-11-29,0.0,0.0,0.0,0,
2016-11-30,0.0,0.0,0.0,0,
2016-12-01,0.0,0.0,0.0,0,
2016-12-02,-260.96,-260.96,88.8,2,
2016-12-05,0.0,0.0,0.0,0,
2016-12-06,-316.8,-316.8,0.0,2,
2016-12-07,1225.2,-189.6,1466.4,2,
2016-12-08,-116.64,-137.52,92.88,1,
2016-12-09,146.61,-247.2,208.7,2,
2016-12-12,-243.68,-245.24,22.8,2,
2016-12-13,-111.8,-111.8,0.0,1,
2016-12-14,-178.5,-178.5,0.0,1,
2016-12-15,-173.84,-173.84,208.28,1,
2016-12-16,-227.86,-231.14,0.0,2,
2016-12-19,-164.64,-164.64,169.51,1,
2016-12-20,-176.4,-176.4,0.0,1,
2016-12-21,0.0,0.0,0.0,0,
2016-12-22,-77.48,-77.48,84.76,1,
2016-12-23,0.0,0.0,0.0,0,
2016-12-27,-74.88,-74.88,9.36,1,
2016-12-28,82.32,-87.96,128.04,2,
2016-12-29,-164.72,-164.72,0.0,1,
2016-12-30,-131.66,-131.66,0.0,2,
2017-01-03,0.0,0.0,0.0,0,
2017-01-04,0.0,0.0,0.0,0,
2017-01-05,-116.96,-117.98,155.72,1,
2017-01-06,80.34,-70.98,164.46,1,
2017-01-09,0.0,0.0,0.0,0,
2017-01-10,-46.74,-46.74,72.98,1,
2017-01-11,-349.58,-349.58,139.92,2,
2017-01-12,-103.62,-106.26,223.74,1,
2017-01-13,0.0,0.0,0.0,0,
2017-01-17,0.0,0.0,0.0,0,
2017-01-18,0.0,0.0,0.0,0,
2017-01-19,32.86,-50.22,194.68,1,
2017-01-20,-172.52,-172.52,41.04,1,
2017-01-23,-171.08,-171.08,123.61,1,
2017-01-24,192.28,-31.16,318.44,1,
2017-01-25,-105.91,-105.91,17.27,2,
2017-01-26,0.0,0.0,0.0,0,
2017-01-27,0.0,0.0,0.0,0,
2017-01-30,-33.48,-33.48,228.96,1,
2017-01-31,-71.28,-78.84,126.36,1,
2017-02-01,0.0,0.0,0.0,0,
2017-02-02,0.0,0.0,0.0,0,
2017-02-03,144.0,-20.5,182.0,1,
2017-02-06,0.0,0.0,0.0,0,
