day,pnl,low,high,trades,halted
2016-01-07,6.72,-45.64,62.16,1,
2016-01-08,271.0,-158.76,281.54,2,
2016-01-11,-238.86,-238.86,51.66,2,
2016-01-12,-7.6,-14.4,171.6,1,
2016-01-13,596.8,-100.12,690.88,2,
2016-01-14,-213.9,-232.66,50.84,2,
2016-01-15,-51.48,-51.48,25.56,1,
2016-01-19,-37.74,-64.02,124.98,2,
2016-01-20,-13.12,-21.76,216.64,1,
2016-01-21,-76.36,-102.58,109.02,1,
2016-01-22,-67.48,-67.48,4.76,1,
2016-01-25,-31.08,-42.84,6.86,1,
2016-01-26,-3.62,-176.1,92.26,2,
2016-01-27,0.0,0.0,0.0,0,
2016-01-28,0.0,0.0,0.0,0,
2016-01-29,321.41,-113.68,331.52,1,
2016-02-01,0.0,0.0,0.0,0,
2016-02-02,-9.18,-45.76,48.64,2,
2016-02-03,-243.98,-294.14,64.8,2,
2016-02-04,-145.32,-165.06,51.24,1,
2016-02-05,344.96,-78.32,357.28,1,
2016-02-08,-85.4,-89.73,95.88,2,
2016-02-09,0.0,0.0,0.0,0,
2016-02-10,-68.34,-70.62,0.68,1,
2016-02-11,0.0,0.0,0.0,0,
2016-02-12,13.2,-32.4,30.6,1,
2016-02-16,-4.48,-52.64,31.36,1,
2016-02-17,-111.3,-116.4,8.1,1,
2016-02-18,0.0,0.0,0.0,0,
2016-02-19,0.0,0.0,0.0,0,
2016-02-22,0.0,0.0,0.0,0,
2016-02-23,0.0,0.0,0.0,0,
2016-02-24,0.0,0.0,0.0,0,
2016-02-25,0.0,0.0,0.0,0,
2016-02-26,0.0,0.0,0.0,0,
2016-02-29,-28.8,-28.8,113.6,1,
2016-03-01,-10.4,-46.2,48.8,1,
2016-03-02,-87.09,-87.09,41.36,2,
2016-03-03,-177.1,-177.1,194.7,1,
2016-03-04,12.32,-15.84,331.32,1,
2016-03-07,-29.44,-56.32,226.88,1,
2016-03-08,367.36,-53.12,378.88,1,
2016-03-09,0.0,0.0,0.0,0,
2016-03-10,-15.08,-15.08,352.06,1,
2016-03-11,159.6,-24.2,171.8,1,
2016-03-14,0.0,0.0,0.0,0,
2016-03-15,31.36,-67.52,164.48,1,
2016-03-16,0.0,0.0,0.0,0,
2016-03-17,185.43,-15.96,259.14,1,
2016-03-18,-29.14,-74.06,112.24,2,
2016-03-21,0.0,0.0,0.0,0,
2016-03-22,0.0,0.0,0.0,0,
2016-03-23,184.59,0.0,225.18,2,
2016-03-24,0.0,0.0,0.0,0,
2016-03-28,0.0,0.0,0.0,0,
2016-03-29,445.74,-5.98,509.22,1,
2016-03-30,0.0,0.0,0.0,0,
2016-03-31,0.0,0.0,0.0,0,
2016-04-01,0.0,0.0,0.0,0,
2016-04-04,0.0,0.0,0.0,0,
2016-04-05,0.0,0.0,0.0,0,
2016-04-06,40.96,-37.12,148.48,1,
2016-04-07,-1.8,-32.4,45.6,1,
2016-04-08,-29.09,-35.33,47.87,1,
2016-04-11,-180.72,-180.72,145.44,1,
2016-04-12,-70.52,-158.26,114.39,1,
2016-04-13,465.12,-22.44,518.16,1,
2016-04-14,-145.2,-145.2,2.4,1,
2016-04-15,0.0,0.0,0.0,0,
2016-04-18,-32.65,-49.64,34.99,2,
2016-04-19,-99.84,-99.84,80.08,1,
2016-04-20,10.26,-20.52,20.65,1,
2016-04-21,0.0,0.0,0.0,0,
2016-04-22,-112.88,-202.64,74.4,2,
2016-04-25,37.88,-51.66,177.94,2,
2016-04-26,-238.52,-238.52,25.16,2,
2016-04-27,0.0,0.0,0.0,0,
2016-04-28,0.0,0.0,0.0,0,
2016-04-29,-235.94,-261.94,65.28,2,
2016-05-02,0.0,0.0,0.0,0,
2016-05-03,28.16,-51.92,205.48,1,
2016-05-04,-105.11,-105.11,0.0,1,
