day,pnl,low,high,trades,halted
2016-01-07,-18.9,-58.05,74.25,1,
2016-01-08,168.0,-83.3,177.1,1,
2016-01-11,-109.2,-112.7,81.9,1,
2016-01-12,0.0,0.0,0.0,0,
2016-01-13,325.5,-63.9,348.9,2,
2016-01-14,-254.8,-281.45,34.65,2,
2016-01-15,0.0,0.0,0.0,0,
2016-01-19,0.0,0.0,0.0,0,
2016-01-20,-4.8,-24.4,243.6,1,
2016-01-21,-233.6,-257.9,0.0,2,
2016-01-22,0.0,0.0,0.0,0,
2016-01-25,0.0,0.0,0.0,0,
2016-01-26,-43.0,-73.55,63.2,2,
2016-01-27,-108.8,-153.85,0.0,1,
2016-01-28,0.0,0.0,0.0,0,
2016-01-29,240.9,-62.1,246.3,2,
2016-02-01,0.0,0.0,0.0,0,
2016-02-02,-9.55,-43.8,46.1,2,
2016-02-03,-212.4,-262.2,76.2,2,
2016-02-04,-183.3,-183.3,0.0,1,
2016-02-05,498.0,-105.0,555.0,1,
2016-02-08,-13.6,-56.74,124.85,2,
2016-02-09,0.0,0.0,0.0,0,
2016-02-10,0.0,0.0,0.0,0,
2016-02-11,0.0,0.0,0.0,0,
2016-02-12,0.0,0.0,0.0,0,
2016-02-16,0.0,0.0,0.0,0,
2016-02-17,-30.1,-53.05,41.5,2,
2016-02-18,0.0,0.0,0.0,0,
2016-02-19,0.0,0.0,0.0,0,
2016-02-22,0.0,0.0,0.0,0,
2016-02-23,-28.6,-39.65,48.75,1,
2016-02-24,5.5,-21.45,28.05,1,
2016-02-25,0.0,0.0,0.0,0,
2016-02-26,0.0,0.0,0.0,0,
2016-02-29,-70.0,-83.75,8.75,1,
2016-03-01,223.6,-27.96,282.75,1,
2016-03-02,0.0,0.0,0.0,0,
2016-03-03,0.0,0.0,0.0,0,
2016-03-04,-237.6,-249.7,44.55,2,
2016-03-07,0.0,0.0,0.0,0,
2016-03-08,-75.2,-93.6,25.76,1,
2016-03-09,0.0,0.0,0.0,0,
2016-03-10,-290.62,-337.55,47.85,2,
2016-03-11,-46.3,-57.8,19.25,2,
2016-03-14,0.0,0.0,0.0,0,
2016-03-15,0.0,0.0,0.0,0,
2016-03-16,-73.8,-73.8,81.9,1,
2016-03-17,74.55,-43.05,156.45,1,
2016-03-18,0.0,0.0,0.0,0,
2016-03-21,0.0,0.0,0.0,0,
2016-03-22,0.0,0.0,0.0,0,
2016-03-23,0.0,0.0,0.0,0,
2016-03-24,0.0,0.0,0.0,0,
2016-03-28,0.0,0.0,0.0,0,
2016-03-29,191.1,-47.25,232.05,1,
2016-03-30,0.0,0.0,0.0,0,
2016-03-31,0.0,0.0,0.0,0,
2016-04-01,1.5,-11.85,39.75,1,
2016-04-04,-57.75,-57.75,21.0,1,
2016-04-05,0.0,0.0,0.0,0,
2016-04-06,311.55,-50.9,339.45,1,
2016-04-07,-72.6,-94.35,2.4,2,
2016-04-08,-24.0,-35.0,39.0,1,
2016-04-11,-186.0,-186.0,103.5,1,
2016-04-12,9.97,-218.2,154.2,2,
2016-04-13,-116.8,-133.6,13.2,2,
2016-04-14,-156.0,-156.0,0.0,1,
2016-04-15,0.0,0.0,0.0,0,
2016-04-18,148.4,-23.8,186.2,1,
2016-04-19,-36.0,-36.0,48.6,1,
2016-04-20,0.0,0.0,0.0,0,
2016-04-21,-130.75,-227.35,25.65,2,
2016-04-22,-53.2,-72.8,0.0,1,
2016-04-25,-84.6,-84.6,31.8,1,
2016-04-26,-181.5,-181.5,0.0,1,
2016-04-27,0.0,0.0,0.0,0,
2016-04-28,0.0,0.0,0.0,0,
2016-04-29,-261.9,-261.9,97.2,2,
2016-05-02,52.5,-22.05,109.62,1,
2016-05-03,-20.8,-20.8,111.2,1,
2016-05-04,0.0,0.0,0.0,0,
2016-05-05,0.0,0.0,0.0,0,
2016-05-06,0.0,0.0,0.0,0,
2016-05-09,-177.6,-177.6,16.65,1,
2016-05-10,215.6,-53.9,229.9,1,
2016-05-11,154.0,-20.9,163.9,1,
2016-05-12,-151.2,-151.2,80.85,2,
2016-05-13,147.26,-33.6,248.4,1,
2016-05-16,402.6,-41.25,585.75,1,
2016-05-17,-219.65,-219.65,17.05,2,
2016-05-18,-367.9,-367.9,0.0,2,
2016-05-19,-109.2,-123.9,57.75,1,
2016-05-20,-41.8,-44.0,84.7,1,
2016-05-23,0.0,0.0,0.0,0,
2016-05-24,195.7,0.0,244.15,1,
2016-05-25,-25.8,-34.9,87.0,2,
2016-05-26,0.0,0.0,0.0,0,
2016-05-27,0.0,0.0,0.0,0,
2016-05-31,0.0,0.0,0.0,0,
2016-06-01,0.0,0.0,0.0,0,
2016-06-02,0.0,0.0,0.0,0,
2016-06-03,-153.75,-153.75,166.25,1,
2016-06-06,-70.9,-70.9,21.0,2,
2016-06-07,-79.0,-79.0,7.5,2,
2016-06-08,-184.8,-184.8,0.0,1,
2016-06-09,0.0,0.0,0.0,0,
2016-06-10,-60.9,-71.99,38.5,1,
2016-06-13,0.0,0.0,0.0,0,
2016-06-14,-294.8,-294.8,41.18,2,
2016-06-15,0.0,0.0,0.0,0,
2016-06-16,-369.8,-369.8,51.45,2,
2016-06-17,-63.9,-63.9,108.0,1,
2016-06-20,-27.6,-35.76,0.0,1,
2016-06-21,0.0,0.0,0.0,0,
2016-06-22,-366.15,-366.15,30.4,2,
2016-06-23,-39.0,-50.25,3.75,1,
2016-06-24,0.0,0.0,0.0,0,
2016-06-27,99.4,-41.3,234.5,1,
2016-06-28,-117.26,-117.26,13.2,2,
2016-06-29,123.5,-24.7,171.6,1,
2016-06-30,152.0,-9.0,243.0,1,
2016-07-01,-87.4,-105.8,18.4,1,
2016-07-05,-64.8,-77.55,25.98,2,
2016-07-06,-24.7,-42.75,52.25,1,
2016-07-07,-118.8,-118.8,6.15,2,
2016-07-08,76.8,-10.2,114.6,1,
2016-07-11,0.0,0.0,0.0,0,
2016-07-12,0.0,0.0,0.0,0,
2016-07-13,0.0,0.0,0.0,0,
2016-07-14,0.0,0.0,0.0,0,
2016-07-15,0.0,0.0,0.0,0,
2016-07-18,0.0,0.0,0.0,0,
2016-07-19,0.0,0.0,0.0,0,
2016-07-20,-56.0,-56.0,0.0,1,
2016-07-21,-186.0,-186.0,53.76,1,
2016-07-22,-35.0,-35.0,1.25,1,
2016-07-25,50.43,-28.7,231.65,1,
2016-07-26,-185.7,-185.7,37.6,2,
2016-07-27,-50.6,-60.5,20.9,1,
2016-07-28,-105.0,-105.0,0.0,1,
2016-07-29,-125.0,-148.75,34.03,2,
2016-08-01,-53.2,-71.4,0.0,1,
2016-08-02,301.5,0.0,744.75,1,
2016-08-03,0.0,0.0,0.0,0,
2016-08-04,0.0,0.0,0.0,0,
2016-08-05,46.4,-60.9,91.03,1,
2016-08-08,0.0,0.0,0.0,0,
2016-08-09,-18.71,-97.5,92.5,2,
2016-08-10,-106.0,-185.65,23.25,2,
2016-08-11,0.0,0.0,0.0,0,
2016-08-12,0.0,0.0,0.0,0,
2016-08-15,-41.8,-41.8,41.85,2,
2016-08-16,0.0,0.0,0.0,0,
