day,pnl,low,high,trades,halted
2016-01-07,-18.48,-58.19,32.01,1,
2016-01-08,-118.36,-179.08,0.0,1,
2016-01-11,-107.92,-113.81,79.99,1,
2016-01-12,0.0,0.0,0.0,0,
2016-01-13,628.38,-34.25,639.65,1,
2016-01-14,33.08,-233.34,189.94,2,
2016-01-15,0.0,0.0,0.0,0,
2016-01-19,0.0,0.0,0.0,0,
2016-01-20,-153.72,-169.26,201.74,1,
2016-01-21,-215.3,-225.21,0.0,2,
2016-01-22,0.0,0.0,0.0,0,
2016-01-25,0.0,0.0,0.0,0,
2016-01-26,0.0,0.0,0.0,0,
2016-01-27,-150.75,-150.75,0.0,1,
2016-01-28,0.0,0.0,0.0,0,
2016-01-29,362.1,-59.7,366.3,1,
2016-02-01,0.0,0.0,0.0,0,
2016-02-02,164.38,-67.34,263.05,2,
2016-02-03,-274.78,-284.47,88.22,2,
2016-02-04,0.0,0.0,0.0,0,
2016-02-05,580.32,-72.54,608.66,1,
2016-02-08,-47.08,-60.39,56.21,1,
2016-02-09,0.0,0.0,0.0,0,
2016-02-10,-59.92,-62.86,19.74,1,
2016-02-11,0.0,0.0,0.0,0,
2016-02-12,0.0,0.0,0.0,0,
2016-02-16,0.0,0.0,0.0,0,
2016-02-17,84.32,-31.04,117.17,1,
2016-02-18,0.0,0.0,0.0,0,
2016-02-19,0.0,0.0,0.0,0,
2016-02-22,0.0,0.0,0.0,0,
2016-02-23,0.0,0.0,0.0,0,
2016-02-24,0.0,0.0,0.0,0,
2016-02-25,0.0,0.0,0.0,0,
2016-02-26,0.0,0.0,0.0,0,
2016-02-29,-46.92,-50.69,17.34,1,
2016-03-01,212.76,-12.42,248.58,1,
2016-03-02,0.0,0.0,0.0,0,
2016-03-03,-94.48,-101.5,14.79,2,
2016-03-04,-66.6,-85.05,67.95,1,
2016-03-07,-7.13,-86.49,10.85,1,
2016-03-08,0.0,0.0,0.0,0,
2016-03-09,0.0,0.0,0.0,0,
2016-03-10,-175.79,-203.54,16.29,2,
2016-03-11,0.0,0.0,0.0,0,
2016-03-14,0.0,0.0,0.0,0,
2016-03-15,0.0,0.0,0.0,0,
2016-03-16,70.18,-43.21,145.29,1,
2016-03-17,0.0,0.0,0.0,0,
2016-03-18,-184.8,-184.8,0.0,1,
2016-03-21,0.0,0.0,0.0,0,
2016-03-22,-7.28,-17.94,23.66,1,
2016-03-23,-13.16,-41.83,122.67,1,
2016-03-24,0.0,0.0,0.0,0,
2016-03-28,0.0,0.0,0.0,0,
2016-03-29,441.04,-51.43,481.37,1,
2016-03-30,-166.17,-166.17,14.79,1,
2016-03-31,0.0,0.0,0.0,0,
2016-04-01,97.59,-45.67,116.83,2,
2016-04-04,-62.16,-68.88,55.02,1,
2016-04-05,0.0,0.0,0.0,0,
2016-04-06,229.08,-129.76,248.24,2,
2016-04-07,26.56,-33.79,118.11,2,
