day,pnl,low,high,trades,halted
2016-01-07,-184.6,-184.6,0.0,1,
2016-01-08,0.0,0.0,0.0,0,
2016-01-11,86.25,-16.1,190.9,1,
2016-01-12,92.4,-55.65,124.95,1,
2016-01-13,-183.6,-183.6,18.9,1,
2016-01-14,124.18,0.0,188.1,1,
2016-01-15,44.1,-26.1,69.75,1,
2016-01-19,21.6,-54.9,112.5,1,
2016-01-20,0.0,0.0,0.0,0,
2016-01-21,-72.0,-151.92,0.0,1,
2016-01-22,0.0,0.0,0.0,0,
2016-01-25,58.5,-14.4,99.0,1,
2016-01-26,0.0,0.0,0.0,0,
2016-01-27,-66.6,-115.65,24.3,1,
2016-01-28,0.0,-36.9,71.1,1,
2016-01-29,45.0,-34.2,83.7,1,
2016-02-01,0.0,0.0,0.0,0,
2016-02-02,-55.8,-90.9,0.0,1,
2016-02-03,0.0,0.0,0.0,0,
2016-02-04,-119.7,-119.7,18.05,1,
2016-02-05,0.0,0.0,0.0,0,
2016-02-08,0.0,0.0,0.0,0,
2016-02-09,12.0,-117.0,83.0,1,
2016-02-10,0.0,0.0,0.0,0,
2016-02-11,0.0,0.0,0.0,0,
2016-02-12,-12.35,-100.7,0.95,1,
2016-02-16,-15.2,-97.85,0.0,1,
2016-02-17,4.75,-53.2,22.8,1,
2016-02-18,14.02,-30.98,79.02,1,
2016-02-19,0.0,0.0,0.0,0,
2016-02-22,28.35,-11.55,45.15,1,
2016-02-23,-48.3,-122.85,0.0,1,
2016-02-24,0.0,0.0,0.0,0,
2016-02-25,166.6,-32.2,180.6,1,
2016-02-26,-4.35,-4.35,63.8,1,
2016-02-29,0.0,0.0,0.0,0,
2016-03-01,0.0,0.0,0.0,0,
2016-03-02,-171.1,-171.1,25.23,1,
2016-03-03,0.0,0.0,0.0,0,
2016-03-04,0.0,0.0,0.0,0,
2016-03-07,0.0,0.0,0.0,0,
2016-03-08,2.97,-73.5,64.5,1,
2016-03-09,0.0,0.0,0.0,0,
2016-03-10,-183.0,-183.0,0.0,1,
2016-03-11,26.97,-51.0,40.5,1,
2016-03-14,0.0,0.0,0.0,0,
2016-03-15,0.0,0.0,0.0,0,
2016-03-16,0.0,0.0,0.0,0,
2016-03-17,0.0,0.0,0.0,0,
2016-03-18,0.0,0.0,0.0,0,
2016-03-21,0.0,0.0,0.0,0,
2016-03-22,-32.4,-63.0,16.2,1,
2016-03-23,-81.4,-101.75,5.55,1,
2016-03-24,0.0,0.0,0.0,0,
2016-03-28,0.0,0.0,0.0,0,
2016-03-29,0.0,0.0,0.0,0,
2016-03-30,-180.0,-180.0,0.0,1,
2016-03-31,0.0,0.0,0.0,0,
2016-04-01,0.0,0.0,0.0,0,
2016-04-04,0.0,0.0,0.0,0,
2016-04-05,184.5,-43.05,205.0,1,
2016-04-06,88.0,-46.0,118.0,1,
2016-04-07,0.0,0.0,0.0,0,
2016-04-08,0.0,0.0,0.0,0,
2016-04-11,0.0,0.0,0.0,0,
2016-04-12,-60.8,-129.2,28.5,1,
2016-04-13,58.9,-19.0,79.8,1,
2016-04-14,7.8,-72.15,21.45,1,
2016-04-15,0.0,0.0,0.0,0,
2016-04-18,0.0,0.0,0.0,0,
2016-04-19,-67.2,-67.2,21.0,1,
2016-04-20,0.0,0.0,0.0,0,
2016-04-21,-180.4,-180.4,0.0,1,
