day,side,qty,entry_ts,entry_px,exit_ts,exit_px,stop_px,pnl,reason_in,reason_out
2016-01-07,-1,26,2016-01-07 14:30:00-06:00,193.57500000000002,2016-01-07 14:33:00-06:00,194.285,194.24,-184.6,"lasthalf short: r_first -1.31%, r_late -0.38%",stop
2016-01-11,1,23,2016-01-11 14:30:00-06:00,191.92999999999998,2016-01-11 14:58:00-06:00,192.305,191.17000000000002,86.25,"lasthalf long: r_first +0.11%, r_late +0.48%",flatten
2016-01-12,1,21,2016-01-12 14:30:00-06:00,193.385,2016-01-12 14:58:00-06:00,193.82500000000002,192.52,92.4,"lasthalf long: r_first +0.98%, r_late +0.26%",flatten
2016-01-13,1,18,2016-01-13 14:30:00-06:00,189.70499999999998,2016-01-13 14:48:00-06:00,188.685,188.73,-183.6,"lasthalf long: r_first +0.24%, r_late +0.17%",stop
2016-01-14,-1,18,2016-01-14 14:30:00-06:00,192.72500000000002,2016-01-14 14:58:00-06:00,192.0351,193.70000000000002,124.18,"lasthalf short: r_first -0.48%, r_late -0.09%",flatten
2016-01-15,-1,18,2016-01-15 14:30:00-06:00,187.87,2016-01-15 14:58:00-06:00,187.625,188.84,44.1,"lasthalf short: r_first -2.26%, r_late -0.15%",flatten
2016-01-19,1,18,2016-01-19 14:30:00-06:00,188.045,2016-01-19 14:58:00-06:00,188.16500000000002,187.06,21.6,"lasthalf long: r_first +0.68%, r_late +0.70%",flatten
2016-01-21,-1,18,2016-01-21 14:30:00-06:00,186.78500000000003,2016-01-21 14:58:00-06:00,187.18499999999997,187.79,-72.0,"lasthalf short: r_first -0.37%, r_late -0.28%",flatten
2016-01-25,-1,18,2016-01-25 14:30:00-06:00,187.99,2016-01-25 14:58:00-06:00,187.665,188.99,58.5,"lasthalf short: r_first -0.46%, r_late -0.50%",flatten
2016-01-27,-1,18,2016-01-27 14:30:00-06:00,187.66500000000002,2016-01-27 14:58:00-06:00,188.035,188.66,-66.6,"lasthalf short: r_first -0.31%, r_late -0.47%",flatten
2016-01-28,1,18,2016-01-28 14:30:00-06:00,189.24499999999998,2016-01-28 14:58:00-06:00,189.245,188.24,0.0,"lasthalf long: r_first +0.84%, r_late +0.00%",flatten
2016-01-29,1,18,2016-01-29 14:30:00-06:00,193.225,2016-01-29 14:58:00-06:00,193.47500000000002,192.22,45.0,"lasthalf long: r_first +1.06%, r_late +0.29%",flatten
2016-02-02,-1,18,2016-02-02 14:30:00-06:00,189.935,2016-02-02 14:58:00-06:00,190.24499999999998,190.9,-55.8,"lasthalf short: r_first -1.29%, r_late +0.00%",flatten
2016-02-04,-1,19,2016-02-04 14:30:00-06:00,190.995,2016-02-04 14:58:00-06:00,191.625,191.94,-119.7,"lasthalf short: r_first -0.09%, r_late -0.04%",flatten
2016-02-09,-1,20,2016-02-09 14:30:00-06:00,185.485,2016-02-09 14:58:00-06:00,185.42499999999998,186.4,12.0,"lasthalf short: r_first -0.07%, r_late -0.10%",flatten
2016-02-12,1,19,2016-02-12 14:30:00-06:00,186.64499999999998,2016-02-12 14:58:00-06:00,186.58,185.72,-12.35,"lasthalf long: r_first +0.67%, r_late +0.22%",flatten
2016-02-16,1,19,2016-02-16 14:30:00-06:00,189.725,2016-02-16 14:58:00-06:00,189.645,188.8,-15.2,"lasthalf long: r_first +0.88%, r_late +0.13%",flatten
2016-02-17,1,19,2016-02-17 14:30:00-06:00,192.83999999999997,2016-02-17 14:58:00-06:00,192.865,191.92000000000002,4.75,"lasthalf long: r_first +0.90%, r_late +0.04%",flatten
2016-02-18,-1,20,2016-02-18 14:30:00-06:00,192.1251,2016-02-18 14:58:00-06:00,192.05499999999998,193.04,14.02,"lasthalf short: r_first -0.08%, r_late -0.21%",flatten
2016-02-22,1,21,2016-02-22 14:30:00-06:00,194.545,2016-02-22 14:58:00-06:00,194.68,193.72,28.35,"lasthalf long: r_first +1.30%, r_late +0.01%",flatten
2016-02-23,-1,21,2016-02-23 14:30:00-06:00,192.25500000000002,2016-02-23 14:58:00-06:00,192.48499999999999,193.08,-48.3,"lasthalf short: r_first -0.40%, r_late -0.16%",flatten
2016-02-25,1,28,2016-02-25 14:30:00-06:00,194.795,2016-02-25 14:58:00-06:00,195.39000000000001,194.17000000000002,166.6,"lasthalf long: r_first +0.08%, r_late +0.16%",flatten
2016-02-26,1,29,2016-02-26 14:30:00-06:00,195.23,2016-02-26 14:58:00-06:00,195.215,194.64000000000001,-4.35,"lasthalf long: r_first +0.33%, r_late +0.10%",flatten
2016-03-02,-1,29,2016-03-02 14:30:00-06:00,198.425,2016-03-02 14:58:00-06:00,199.015,199.01,-171.1,"lasthalf short: r_first -0.27%, r_late +0.00%",flatten
2016-03-08,-1,30,2016-03-08 14:30:00-06:00,198.51500000000001,2016-03-08 14:58:00-06:00,198.5051,199.08,2.97,"lasthalf short: r_first -0.77%, r_late -0.28%",flatten
2016-03-10,1,30,2016-03-10 14:30:00-06:00,199.73499999999999,2016-03-10 14:40:00-06:00,199.12500000000003,199.17000000000002,-183.0,"lasthalf long: r_first +0.69%, r_late +0.37%",stop
