day,pnl,low,high,trades,halted
2016-01-07,-187.2,-187.2,0.0,1,
2016-01-08,0.0,0.0,0.0,0,
2016-01-11,91.96,-18.62,175.18,1,
2016-01-12,112.88,-43.86,129.54,1,
2016-01-13,-188.16,-188.16,12.29,1,
2016-01-14,115.29,0.0,167.71,1,
2016-01-15,36.63,-11.73,66.3,1,
2016-01-19,20.37,-51.93,110.07,1,
2016-01-20,0.0,0.0,0.0,0,
2016-01-21,-45.9,-157.2,0.0,1,
2016-01-22,0.0,0.0,0.0,0,
2016-01-25,69.6,-5.7,114.3,1,
2016-01-26,-89.4,-119.7,18.3,1,
2016-01-27,-14.4,-83.7,47.85,1,
2016-01-28,15.6,-35.7,81.3,1,
2016-01-29,42.6,-29.7,75.3,1,
2016-02-01,0.0,0.0,0.0,0,
2016-02-02,0.0,0.0,0.0,0,
2016-02-03,-58.74,-95.37,43.23,1,
2016-02-04,0.0,0.0,0.0,0,
2016-02-05,0.0,0.0,0.0,0,
2016-02-08,0.0,0.0,0.0,0,
2016-02-09,0.0,0.0,0.0,0,
2016-02-10,0.0,0.0,0.0,0,
2016-02-11,0.0,0.0,0.0,0,
2016-02-12,-15.9,-98.7,0.0,1,
2016-02-16,12.6,-80.7,24.3,1,
2016-02-17,0.0,0.0,0.0,0,
2016-02-18,42.6,-17.7,78.3,1,
2016-02-19,0.0,0.0,0.0,0,
2016-02-22,0.0,0.0,0.0,0,
2016-02-23,2.45,-101.15,7.35,1,
2016-02-24,0.0,0.0,0.0,0,
2016-02-25,0.0,0.0,0.0,0,
2016-02-26,-12.88,-13.34,48.76,1,
2016-02-29,0.0,0.0,0.0,0,
2016-03-01,0.0,0.0,0.0,0,
2016-03-02,-176.5,-176.5,40.5,1,
2016-03-03,-69.0,-94.5,0.5,1,
2016-03-04,0.0,0.0,0.0,0,
2016-03-07,0.0,0.0,0.0,0,
2016-03-08,104.14,-81.09,163.71,1,
2016-03-09,0.0,0.0,0.0,0,
2016-03-10,-189.0,-189.0,0.0,1,
2016-03-11,33.5,-39.5,45.5,1,
2016-03-14,0.0,0.0,0.0,0,
2016-03-15,0.0,0.0,0.0,0,
2016-03-16,-48.95,-89.45,115.55,1,
2016-03-17,0.0,0.0,0.0,0,
2016-03-18,0.0,0.0,0.0,0,
2016-03-21,0.0,0.0,0.0,0,
2016-03-22,-4.8,-77.4,27.6,1,
2016-03-23,-64.8,-80.4,12.6,1,
2016-03-24,0.0,0.0,0.0,0,
2016-03-28,0.0,0.0,0.0,0,
2016-03-29,0.0,0.0,0.0,0,
2016-03-30,-154.8,-154.8,0.0,1,
2016-03-31,0.0,0.0,0.0,0,
2016-04-01,0.0,0.0,0.0,0,
2016-04-04,-70.8,-89.4,0.0,1,
2016-04-05,163.2,-41.4,174.6,1,
2016-04-06,109.2,-35.4,126.6,1,
2016-04-07,0.0,0.0,0.0,0,
2016-04-08,0.0,0.0,0.0,0,
2016-04-11,0.0,0.0,0.0,0,
2016-04-12,0.0,0.0,0.0,0,
2016-04-13,64.2,-14.4,135.6,1,
2016-04-14,0.0,0.0,0.0,0,
2016-04-15,7.2,-35.4,42.6,1,
2016-04-18,0.0,0.0,0.0,0,
2016-04-19,0.0,0.0,0.0,0,
2016-04-20,0.0,0.0,0.0,0,regime off
2016-04-21,0.0,0.0,0.0,0,regime off
2016-04-22,0.0,0.0,0.0,0,regime off
2016-04-25,0.0,0.0,0.0,0,regime off
2016-04-26,0.0,0.0,0.0,0,regime off
