day,side,notional,entry_ts,entry_s,exit_ts,exit_s,pnl,reason_out,costs,qty
2016-01-12,-1,60000,2016-01-12 09:30:00-06:00,0.00463,2016-01-12 14:52:00-06:00,0.0035,40.95,flatten,49.6,1
2016-01-13,1,60000,2016-01-13 11:00:00-06:00,-0.00312,2016-01-13 13:00:00-06:00,-0.00759,-264.47,stop,49.85,1
2016-01-14,-1,60000,2016-01-14 13:30:00-06:00,0.00488,2016-01-14 14:52:00-06:00,0.00484,-12.96,flatten,49.95,1
2016-01-20,-1,59106,2016-01-20 13:00:00-06:00,0.00824,2016-01-20 14:52:00-06:00,0.00879,-24.56,flatten,51.4,1
2016-01-21,1,60000,2016-01-21 10:30:00-06:00,-0.0029,2016-01-21 14:52:00-06:00,-0.00559,-129.54,flatten,51.38,1
2016-01-22,-1,60000,2016-01-22 10:00:00-06:00,0.00332,2016-01-22 14:52:00-06:00,0.00517,-70.07,flatten,50.62,1
2016-01-25,-1,60000,2016-01-25 09:30:00-06:00,0.00307,2016-01-25 14:30:00-06:00,0.00117,109.18,reverted,50.47,1
2016-01-26,1,60000,2016-01-26 09:30:00-06:00,-0.00603,2016-01-26 14:52:00-06:00,-0.00415,81.36,flatten,50.74,1
2016-01-27,1,60000,2016-01-27 09:30:00-06:00,-0.00602,2016-01-27 14:00:00-06:00,-0.01004,-237.3,stop,51.1,1
2016-01-28,1,60000,2016-01-28 09:30:00-06:00,-0.00414,2016-01-28 10:00:00-06:00,-0.00089,194.61,reverted,51.44,1
2016-02-02,1,60000,2016-02-02 12:30:00-06:00,-0.00476,2016-02-02 14:52:00-06:00,-0.00798,-196.13,flatten,50.45,1
2016-02-03,1,60000,2016-02-03 09:30:00-06:00,-0.00405,2016-02-03 11:30:00-06:00,-0.00722,-189.29,stop,51.44,1
2016-02-05,1,60000,2016-02-05 09:30:00-06:00,-0.00852,2016-02-05 10:30:00-06:00,-0.01247,-233.06,stop,51.45,1
2016-02-09,-1,60000,2016-02-09 09:30:00-06:00,0.00571,2016-02-09 11:30:00-06:00,0.00132,268.53,reverted,52.67,1
2016-02-11,-1,53642,2016-02-11 12:00:00-06:00,0.00698,2016-02-11 14:52:00-06:00,0.00814,-154.05,flatten,47.64,1
2016-02-12,1,60000,2016-02-12 10:00:00-06:00,-0.00517,2016-02-12 14:52:00-06:00,-0.00546,23.32,flatten,52.72,1
2016-02-18,1,60000,2016-02-18 10:00:00-06:00,-0.00517,2016-02-18 14:52:00-06:00,-0.00838,-181.62,flatten,50.46,1
2016-02-19,-1,60000,2016-02-19 09:30:00-06:00,0.00448,2016-02-19 14:00:00-06:00,0.002,140.59,reverted,50.69,1
2016-02-24,-1,48525,2016-02-24 13:30:00-06:00,0.00676,2016-02-24 14:52:00-06:00,0.00729,7.54,flatten,40.76,1
2016-03-01,-1,60000,2016-03-01 10:00:00-06:00,0.00393,2016-03-01 14:52:00-06:00,0.00615,-125.41,flatten,49.44,1
2016-03-02,1,60000,2016-03-02 10:30:00-06:00,-0.00523,2016-03-02 14:52:00-06:00,-0.0047,24.72,flatten,48.88,1
2016-03-03,1,60000,2016-03-03 10:30:00-06:00,-0.00417,2016-03-03 14:52:00-06:00,-0.00572,-105.24,flatten,48.97,1
2016-03-07,1,60000,2016-03-07 09:30:00-06:00,-0.00588,2016-03-07 14:52:00-06:00,-0.00716,-26.4,flatten,48.79,1
2016-03-08,-1,60000,2016-03-08 10:00:00-06:00,0.00477,2016-03-08 14:52:00-06:00,0.0032,83.92,flatten,49.02,1
2016-03-10,1,60000,2016-03-10 12:00:00-06:00,-0.00497,2016-03-10 14:52:00-06:00,-0.0039,97.68,flatten,49.28,1
2016-03-14,-1,60000,2016-03-14 09:30:00-05:00,0.00371,2016-03-14 14:52:00-05:00,0.00361,9.26,flatten,48.14,1
2016-03-17,1,60000,2016-03-17 13:30:00-05:00,-0.00587,2016-03-17 14:52:00-05:00,-0.00477,65.61,flatten,47.55,1
2016-03-18,1,60000,2016-03-18 09:30:00-05:00,-0.00416,2016-03-18 10:30:00-05:00,-0.00147,161.64,reverted,47.74,1
2016-03-29,-1,60000,2016-03-29 10:00:00-05:00,0.00342,2016-03-29 13:30:00-05:00,0.00632,-174.94,stop,47.83,1
2016-03-30,-1,60000,2016-03-30 09:30:00-05:00,0.00303,2016-03-30 10:30:00-05:00,-0.00057,213.33,reverted,46.92,1
