day,pnl,low,high,trades,halted
2016-01-07,-18.9,-58.05,74.25,1,
2016-01-08,168.0,-83.3,177.1,1,
2016-01-11,-191.8,-191.8,81.9,1,
2016-01-12,0.0,0.0,0.0,0,
2016-01-13,481.0,-34.45,506.35,1,
2016-01-14,-26.0,-303.55,113.88,2,
2016-01-15,0.0,0.0,0.0,0,
2016-01-19,0.0,0.0,0.0,0,
2016-01-20,-175.2,-175.2,243.6,1,
2016-01-21,-375.8,-375.8,120.1,2,
2016-01-22,0.0,0.0,0.0,0,
2016-01-25,0.0,0.0,0.0,0,
2016-01-26,65.6,-34.4,164.0,1,
2016-01-27,-190.4,-190.4,0.0,1,
2016-01-28,0.0,0.0,0.0,0,
2016-01-29,424.8,-62.1,432.9,1,
2016-02-01,0.0,0.0,0.0,0,
2016-02-02,94.8,-67.8,190.2,1,
2016-02-03,-375.6,-375.6,76.2,2,
2016-02-04,-183.3,-183.3,0.0,1,
2016-02-05,498.0,-105.0,555.0,1,
2016-02-08,-122.65,-163.35,180.95,1,
2016-02-09,0.0,0.0,0.0,0,
2016-02-10,0.0,0.0,0.0,0,
2016-02-11,0.0,0.0,0.0,0,
2016-02-12,0.0,0.0,0.0,0,
2016-02-16,0.0,0.0,0.0,0,
2016-02-17,23.0,-28.5,71.5,1,
2016-02-18,0.0,0.0,0.0,0,
2016-02-19,0.0,0.0,0.0,0,
2016-02-22,0.0,0.0,0.0,0,
2016-02-23,15.6,-39.65,87.62,1,
2016-02-24,-183.7,-183.7,36.85,1,
2016-02-25,0.0,0.0,0.0,0,
2016-02-26,0.0,0.0,0.0,0,
2016-02-29,-185.0,-185.0,8.75,1,
2016-03-01,223.6,-27.96,282.75,1,
2016-03-02,0.0,0.0,0.0,0,
2016-03-03,0.0,0.0,0.0,0,
2016-03-04,-365.2,-365.2,44.55,2,
2016-03-07,0.0,0.0,0.0,0,
2016-03-08,-193.6,-193.6,25.76,1,
2016-03-09,0.0,0.0,0.0,0,
2016-03-10,-374.6,-374.6,47.85,2,
2016-03-11,46.2,-44.55,52.25,1,
2016-03-14,0.0,0.0,0.0,0,
2016-03-15,0.0,0.0,0.0,0,
2016-03-16,36.0,-71.1,103.5,1,
2016-03-17,74.55,-43.05,156.45,1,
2016-03-18,0.0,0.0,0.0,0,
2016-03-21,0.0,0.0,0.0,0,
2016-03-22,0.0,0.0,0.0,0,
2016-03-23,0.0,0.0,0.0,0,
2016-03-24,0.0,0.0,0.0,0,
2016-03-28,0.0,0.0,0.0,0,
2016-03-29,191.1,-47.25,232.05,1,
2016-03-30,0.0,0.0,0.0,0,
2016-03-31,0.0,0.0,0.0,0,
2016-04-01,108.0,-11.85,126.75,1,
2016-04-04,-182.0,-182.0,21.0,1,
2016-04-05,0.0,0.0,0.0,0,
2016-04-06,311.55,-50.9,339.45,1,
2016-04-07,162.75,-59.68,284.55,1,
2016-04-08,-192.0,-192.0,39.0,1,
2016-04-11,-186.0,-186.0,103.5,1,
2016-04-12,9.97,-218.2,154.2,2,
2016-04-13,121.2,-111.6,174.0,1,
2016-04-14,-156.0,-156.0,0.0,1,
2016-04-15,0.0,0.0,0.0,0,
2016-04-18,148.4,-23.8,186.2,1,
2016-04-19,-183.6,-183.6,48.6,1,
2016-04-20,0.0,0.0,0.0,0,
2016-04-21,-130.75,-227.35,25.65,2,
2016-04-22,-182.0,-182.0,0.0,1,
2016-04-25,-185.4,-185.4,31.8,1,
2016-04-26,-181.5,-181.5,0.0,1,
2016-04-27,0.0,0.0,0.0,0,
2016-04-28,0.0,0.0,0.0,0,
2016-04-29,-187.2,-187.2,232.8,1,
2016-05-02,52.5,-22.05,109.62,1,
2016-05-03,-48.0,-110.4,111.2,1,
2016-05-04,0.0,0.0,0.0,0,
2016-05-05,0.0,0.0,0.0,0,
2016-05-06,0.0,0.0,0.0,0,
2016-05-09,-177.6,-177.6,16.65,1,
2016-05-10,215.6,-53.9,229.9,1,
2016-05-11,154.0,-20.9,163.9,1,
2016-05-12,-191.1,-191.1,80.85,1,
2016-05-13,147.26,-33.6,248.4,1,
2016-05-16,402.6,-41.25,585.75,1,
2016-05-17,12.4,-240.65,110.05,2,
2016-05-18,-367.9,-367.9,0.0,2,
2016-05-19,-186.9,-186.9,57.75,1,
2016-05-20,-99.0,-139.7,84.7,1,
2016-05-23,0.0,0.0,0.0,0,
2016-05-24,195.7,0.0,244.15,1,
2016-05-25,20.0,-23.0,102.0,1,
2016-05-26,0.0,0.0,0.0,0,
2016-05-27,0.0,0.0,0.0,0,
2016-05-31,0.0,0.0,0.0,0,
2016-06-01,0.0,0.0,0.0,0,
2016-06-02,0.0,0.0,0.0,0,
2016-06-03,-190.0,-190.0,166.25,1,
2016-06-06,-264.1,-264.1,57.12,2,
2016-06-07,-182.5,-182.5,22.93,1,
2016-06-08,-184.8,-184.8,0.0,1,
2016-06-09,0.0,0.0,0.0,0,
2016-06-10,-60.9,-71.99,38.5,1,
2016-06-13,0.0,0.0,0.0,0,
2016-06-14,-370.7,-370.7,41.18,2,
2016-06-15,0.0,0.0,0.0,0,
2016-06-16,-369.8,-369.8,51.45,2,
2016-06-17,-36.0,-99.0,108.0,1,
2016-06-20,-186.0,-186.0,0.0,1,
2016-06-21,0.0,0.0,0.0,0,
2016-06-22,-366.15,-366.15,30.4,2,
2016-06-23,42.0,-60.75,52.5,1,
2016-06-24,0.0,0.0,0.0,0,
2016-06-27,99.4,-41.3,234.5,1,
2016-06-28,76.8,-117.0,105.0,1,
2016-06-29,123.5,-24.7,171.6,1,
2016-06-30,152.0,-9.0,243.0,1,
2016-07-01,-187.45,-187.45,18.4,1,
2016-07-05,-74.25,-98.25,65.1,1,
2016-07-06,71.25,-69.35,97.83,1,
2016-07-07,-306.6,-339.15,0.0,2,
2016-07-08,76.8,-10.2,114.6,1,
2016-07-11,0.0,0.0,0.0,0,
2016-07-12,0.0,0.0,0.0,0,
2016-07-13,0.0,0.0,0.0,0,
2016-07-14,0.0,0.0,0.0,0,
2016-07-15,0.0,0.0,0.0,0,
2016-07-18,0.0,0.0,0.0,0,
2016-07-19,0.0,0.0,0.0,0,
2016-07-20,-44.0,-75.0,0.0,1,
2016-07-21,-186.0,-186.0,53.76,1,
2016-07-22,28.33,-36.25,48.75,1,
2016-07-25,8.2,-28.7,231.65,1,
2016-07-26,-359.1,-359.1,37.6,2,
2016-07-27,-182.6,-182.6,25.3,1,
2016-07-28,-183.0,-183.0,0.0,1,
2016-07-29,-13.75,-111.25,34.03,1,
2016-08-01,-67.2,-138.82,4.2,1,
2016-08-02,301.5,0.0,744.75,1,
2016-08-03,0.0,0.0,0.0,0,
2016-08-04,0.0,0.0,0.0,0,
2016-08-05,46.4,-60.9,91.03,1,
2016-08-08,0.0,0.0,0.0,0,
2016-08-09,-180.0,-180.0,142.5,1,
2016-08-10,27.9,-94.52,85.25,1,
2016-08-11,0.0,0.0,0.0,0,
2016-08-12,0.0,0.0,0.0,0,
2016-08-15,-48.05,-48.05,51.15,1,
2016-08-16,0.0,0.0,0.0,0,
2016-08-17,-348.0,-348.0,0.0,2,
