day,side,qty,entry_ts,entry_px,exit_ts,exit_px,stop_px,pnl,reason_in,reason_out
2016-01-07,-1,9,2016-01-07 13:00:00-06:00,194.435,2016-01-07 14:52:00-06:00,194.64499999999998,196.52,-18.9,short: close 194.48 < lower 194.97,flatten
2016-01-08,-1,14,2016-01-08 13:30:00-06:00,193.275,2016-01-08 14:52:00-06:00,192.075,194.54,168.0,short: close 193.32 < lower 193.33,flatten
2016-01-11,-1,14,2016-01-11 12:30:00-06:00,190.51500000000001,2016-01-11 14:27:00-06:00,191.885,191.84,-191.8,short: close 190.56 < lower 191.14,stop
2016-01-13,-1,13,2016-01-13 11:00:00-06:00,192.44500000000002,2016-01-13 14:52:00-06:00,188.74499999999998,193.82,481.0,short: close 192.50 < lower 192.67,flatten
2016-01-14,-1,21,2016-01-14 09:00:00-06:00,187.895,2016-01-14 09:13:00-06:00,188.80499999999998,188.76,-191.1,short: close 187.94 < lower 188.34,stop
2016-01-14,1,13,2016-01-14 10:00:00-06:00,190.885,2016-01-14 14:52:00-06:00,192.155,189.54,165.1,long: close 190.84 > upper 190.55,flatten
2016-01-20,-1,8,2016-01-20 09:00:00-06:00,184.095,2016-01-20 14:18:00-06:00,186.285,186.24,-175.2,short: close 184.15 < lower 184.38,stop
2016-01-21,-1,20,2016-01-21 09:00:00-06:00,185.06,2016-01-21 09:01:00-06:00,185.98499999999999,185.94,-185.0,short: close 185.11 < lower 185.12,stop
2016-01-21,1,18,2016-01-21 09:30:00-06:00,187.11499999999998,2016-01-21 13:18:00-06:00,186.055,186.1,-190.8,long: close 187.07 > upper 187.01,stop
2016-01-26,1,16,2016-01-26 09:30:00-06:00,189.475,2016-01-26 14:52:00-06:00,189.88500000000002,188.34,65.6,long: close 189.43 > upper 189.18,flatten
2016-01-27,-1,17,2016-01-27 09:30:00-06:00,188.625,2016-01-27 10:21:00-06:00,189.745,189.70000000000002,-190.4,short: close 188.66 < lower 188.81,stop
2016-01-29,1,18,2016-01-29 09:00:00-06:00,191.195,2016-01-29 14:52:00-06:00,193.555,190.17000000000002,424.8,long: close 191.15 > upper 190.60,flatten
2016-02-02,-1,12,2016-02-02 09:00:00-06:00,191.155,2016-02-02 14:52:00-06:00,190.36499999999998,192.62,94.8,short: close 191.19 < lower 191.36,flatten
2016-02-03,-1,12,2016-02-03 09:30:00-06:00,187.79500000000002,2016-02-03 10:29:00-06:00,189.345,189.3,-186.0,short: close 187.83 < lower 189.28,stop
2016-02-03,-1,12,2016-02-03 10:30:00-06:00,189.10500000000002,2016-02-03 13:28:00-06:00,190.685,190.64000000000001,-189.6,short: close 189.15 < lower 189.23,stop
2016-02-04,1,13,2016-02-04 10:00:00-06:00,192.725,2016-02-04 10:17:00-06:00,191.31500000000003,191.36,-183.3,long: close 192.69 > upper 192.32,stop
2016-02-05,-1,20,2016-02-05 09:00:00-06:00,190.04500000000002,2016-02-05 14:52:00-06:00,187.55499999999998,190.94,498.0,short: close 190.08 < lower 190.37,flatten
2016-02-08,-1,11,2016-02-08 09:00:00-06:00,184.525,2016-02-08 14:52:00-06:00,185.64,186.22,-122.65,short: close 184.58 < lower 185.16,flatten
