day,entry_px,exit_px,shares,ret_bp,pnl,qty,reason_out
2016-01-05,110.05,110.38,109.0,29.1,34.89,1,open
2016-01-06,110.25,108.67,108.8,-144.2,-173.05,1,open
2016-01-07,108.64,106.67,110.5,-180.9,-217.05,1,open
2016-01-08,105.72,105.89,113.5,16.1,19.3,1,open
2016-01-12,103.49,104.19,115.9,66.7,80.0,1,open
2016-01-13,103.78,103.88,115.6,8.7,10.41,1,open
2016-01-14,100.42,100.83,119.5,39.8,47.8,1,open
2016-01-15,101.77,99.05,117.9,-268.2,-321.89,1,open
2016-01-20,98.83,97.39,121.4,-146.7,-176.05,1,open
2016-01-21,99.22,99.31,120.9,9.1,10.89,1,open
2016-01-22,98.99,100.62,121.2,163.6,196.37,1,open
2016-01-26,99.16,99.48,121.0,31.3,37.51,1,open
2016-01-27,101.13,100.56,118.7,-57.3,-68.82,1,open
2016-01-28,99.71,100.52,120.3,80.7,96.88,1,open
2016-01-29,99.72,100.01,120.3,29.1,34.9,1,open
2016-02-02,102.53,101.3,117.0,-120.9,-145.12,1,open
2016-02-03,100.3,101.01,119.6,69.8,83.74,1,open
2016-02-04,100.44,99.97,119.5,-46.8,-56.16,1,open
2016-02-05,100.84,100.31,119.0,-52.6,-63.07,1,open
2016-02-09,96.44,95.11,124.4,-138.9,-166.73,1,open
2016-02-10,95.86,96.42,125.2,57.4,68.85,1,open
2016-02-11,95.83,94.05,125.2,-185.8,-222.91,1,open
2016-02-12,94.83,95.62,126.5,83.3,99.96,1,open
2016-02-17,98.94,99.53,121.3,59.6,71.56,1,open
2016-02-18,100.47,100.48,119.4,0.0,0.0,1,open
2016-02-19,99.95,99.53,120.1,-43.0,-51.62,1,open
2016-02-23,101.6,101.17,118.1,-42.3,-50.78,1,open
2016-02-24,100.67,99.59,119.2,-108.3,-129.92,1,open
2016-02-25,101.64,101.76,118.1,10.8,12.99,1,open
2016-02-26,102.56,103.03,117.0,44.8,53.82,1,open
2016-03-01,102.8,103.59,116.7,77.8,93.39,1,open
2016-03-02,104.94,104.76,114.3,-18.1,-21.73,1,open
2016-03-03,106.08,106.03,113.1,-5.7,-6.79,1,open
2016-03-04,107.1,107.03,112.0,-6.5,-7.84,1,open
2016-03-08,108.94,108.25,110.1,-64.3,-77.1,1,open
2016-03-09,106.3,106.61,112.9,29.2,35.0,1,open
2016-03-10,106.84,107.06,112.3,20.6,24.71,1,open
2016-03-11,105.97,106.76,113.2,73.6,88.32,1,open
2016-03-15,107.94,107.23,111.2,-65.8,-78.93,1,open
2016-03-16,106.31,105.7,112.9,-58.3,-69.98,1,open
2016-03-17,107.0,106.7,112.1,-29.0,-34.76,1,open
2016-03-18,108.66,108.73,110.4,7.4,8.84,1,open
2016-03-22,109.38,108.75,109.7,-57.6,-69.12,1,open
2016-03-23,109.27,108.51,109.8,-70.5,-84.56,1,open
2016-03-24,106.88,106.2,112.3,-63.6,-76.35,1,open
2016-03-28,107.22,107.4,111.9,15.9,19.03,1,open
2016-03-29,107.34,107.01,111.8,-31.7,-38.01,1,open
2016-03-30,110.34,110.86,108.7,46.2,55.46,1,open
2016-03-31,110.36,110.45,108.7,7.2,8.7,1,open
2016-04-01,110.67,109.62,108.4,-95.8,-114.93,1,open
2016-04-05,110.23,109.34,108.9,-81.6,-97.97,1,open
2016-04-06,108.95,108.86,110.1,-9.2,-11.01,1,open
2016-04-07,110.2,109.34,108.9,-78.9,-94.73,1,open
2016-04-08,108.72,109.58,110.4,79.1,94.93,1,open
2016-04-12,108.8,108.78,110.3,-2.8,-3.31,1,open
2016-04-13,110.0,110.56,109.1,50.9,61.09,1,open
2016-04-14,112.35,112.23,106.8,-11.6,-13.88,1,open
2016-04-15,112.23,111.87,106.9,-33.0,-39.56,1,open
2016-04-19,113.33,113.48,105.9,12.4,14.82,1,open
2016-04-20,113.41,113.36,105.8,-4.4,-5.29,1,open
2016-04-21,113.64,113.44,105.6,-18.5,-22.17,1,open
2016-04-22,112.98,112.95,106.2,-3.5,-4.25,1,open
2016-04-26,113.28,113.64,105.9,30.9,37.07,1,open
2016-04-27,114.47,114.42,104.8,-4.4,-5.24,1,open
2016-04-28,114.85,114.23,104.5,-54.9,-65.82,1,open
2016-04-29,113.5,112.98,105.7,-46.7,-56.03,1,open
2016-05-03,113.53,112.52,105.7,-89.7,-107.69,1,open
2016-05-04,111.66,110.95,107.5,-62.7,-75.23,1,open
2016-05-05,110.73,111.12,108.4,34.3,41.18,1,open
2016-05-06,110.28,109.78,108.8,-45.3,-54.4,1,open
2016-05-10,111.23,111.62,107.9,35.1,42.07,1,open
2016-05-11,112.35,112.09,106.8,-24.0,-28.84,1,open
2016-05-12,110.97,111.17,108.1,18.0,21.63,1,open
