day,pnl,low,high,trades,halted
2016-01-05,45.65,0.0,45.65,1,
2016-01-06,-340.78,-340.78,0.0,1,
2016-01-07,-417.81,-417.81,0.0,1,
2016-01-08,126.83,0.0,126.83,1,
2016-01-11,0.0,0.0,0.0,0,weekend skip
2016-01-12,182.47,0.0,182.47,1,
2016-01-13,64.1,0.0,64.1,1,
2016-01-14,82.65,0.0,82.65,1,
2016-01-15,-613.0,-613.0,0.0,1,
2016-01-19,0.0,0.0,0.0,0,weekend skip
2016-01-20,-401.04,-401.04,0.0,1,
2016-01-21,24.81,0.0,24.81,1,
2016-01-22,315.94,0.0,315.94,1,
2016-01-25,0.0,0.0,0.0,0,weekend skip
2016-01-26,97.04,0.0,97.04,1,
2016-01-27,-150.87,-150.87,0.0,1,
2016-01-28,193.44,0.0,193.44,1,
2016-01-29,144.67,0.0,144.67,1,
2016-02-01,0.0,0.0,0.0,0,weekend skip
2016-02-02,-232.34,-232.34,0.0,1,
2016-02-03,132.48,0.0,132.48,1,
2016-02-04,-67.62,-67.62,0.0,1,
2016-02-05,-42.04,-42.04,0.0,1,
2016-02-08,0.0,0.0,0.0,0,weekend skip
2016-02-09,-266.76,-266.76,0.0,1,
2016-02-10,94.7,0.0,94.7,1,
2016-02-11,-388.0,-388.0,0.0,1,
2016-02-12,180.31,0.0,180.31,1,
2016-02-16,0.0,0.0,0.0,0,weekend skip
2016-02-17,164.42,0.0,164.42,1,
2016-02-18,48.8,0.0,48.8,1,
2016-02-19,-192.91,-192.91,0.0,1,
2016-02-22,0.0,0.0,0.0,0,weekend skip
2016-02-23,-56.81,-56.81,0.0,1,
2016-02-24,-221.38,-221.38,0.0,1,
2016-02-25,44.69,0.0,44.69,1,
2016-02-26,130.95,0.0,130.95,1,
2016-02-29,0.0,0.0,0.0,0,weekend skip
2016-03-01,128.2,0.0,128.2,1,
2016-03-02,-70.97,-70.97,0.0,1,
2016-03-03,-28.6,-28.6,0.0,1,
2016-03-04,12.22,0.0,12.22,1,
2016-03-07,0.0,0.0,0.0,0,weekend skip
2016-03-08,-117.26,-117.26,0.0,1,
2016-03-09,90.8,0.0,90.8,1,
2016-03-10,75.73,0.0,75.73,1,
2016-03-11,181.19,0.0,181.19,1,
2016-03-14,0.0,0.0,0.0,0,weekend skip
2016-03-15,-114.71,-114.71,0.0,1,
2016-03-16,-66.6,-66.6,0.0,1,
2016-03-17,-7.95,-7.95,0.0,1,
2016-03-18,35.49,0.0,35.49,1,
2016-03-21,0.0,0.0,0.0,0,weekend skip
2016-03-22,-98.0,-98.0,0.0,1,
2016-03-23,-62.85,-62.85,0.0,1,
2016-03-24,-135.49,-135.49,0.0,1,
2016-03-28,21.04,0.0,21.04,1,
2016-03-29,-90.61,-90.61,0.0,1,
2016-03-30,125.36,0.0,125.36,1,
2016-03-31,-7.8,-7.8,0.0,1,
2016-04-01,-127.59,-127.59,0.0,1,
2016-04-04,0.0,0.0,0.0,0,weekend skip
2016-04-05,-146.69,-146.69,0.0,1,
2016-04-06,-2.62,-2.62,0.0,1,
2016-04-07,-166.28,-166.28,0.0,1,
2016-04-08,120.68,0.0,120.68,1,
2016-04-11,0.0,0.0,0.0,0,weekend skip
2016-04-12,28.84,0.0,28.84,1,
2016-04-13,115.6,0.0,115.6,1,
2016-04-14,9.0,0.0,9.0,1,
2016-04-15,-24.39,-24.39,0.0,1,
2016-04-18,0.0,0.0,0.0,0,weekend skip
2016-04-19,37.09,0.0,37.09,1,
2016-04-20,-44.64,-44.64,0.0,1,
2016-04-21,-22.9,-22.9,0.0,1,
2016-04-22,-15.36,-15.36,0.0,1,
2016-04-25,0.0,0.0,0.0,0,weekend skip
2016-04-26,25.61,0.0,25.61,1,
2016-04-27,-78.07,-78.07,0.0,1,
2016-04-28,-159.47,-159.47,0.0,1,
2016-04-29,-109.7,-109.7,0.0,1,
2016-05-02,0.0,0.0,0.0,0,weekend skip
2016-05-03,-173.73,-173.73,0.0,1,
2016-05-04,-124.53,-124.53,0.0,1,
2016-05-05,57.38,0.0,57.38,1,
2016-05-06,-106.87,-106.87,0.0,1,
2016-05-09,0.0,0.0,0.0,0,weekend skip
2016-05-10,83.14,0.0,83.14,1,
2016-05-11,-70.58,-70.58,0.0,1,
2016-05-12,57.07,0.0,57.07,1,
2016-05-13,-72.59,-72.59,0.0,1,
2016-05-16,0.0,0.0,0.0,0,weekend skip
2016-05-17,-44.11,-44.11,0.0,1,
2016-05-18,-69.43,-69.43,0.0,1,
2016-05-19,-92.98,-92.98,0.0,1,
2016-05-20,-6.58,-6.58,0.0,1,
2016-05-23,0.0,0.0,0.0,0,weekend skip
2016-05-24,119.72,0.0,119.72,1,
2016-05-25,85.83,0.0,85.83,1,
2016-05-26,21.93,0.0,21.93,1,
2016-05-27,10.33,0.0,10.33,1,
2016-05-31,0.0,0.0,0.0,0,weekend skip
2016-06-01,-100.94,-100.94,0.0,1,
2016-06-02,-65.98,-65.98,0.0,1,
2016-06-03,-61.91,-61.91,0.0,1,
2016-06-06,0.0,0.0,0.0,0,weekend skip
2016-06-07,30.81,0.0,30.81,1,
2016-06-08,28.2,0.0,28.2,1,
2016-06-09,-93.24,-93.24,0.0,1,
2016-06-10,-154.71,-154.71,0.0,1,
2016-06-13,0.0,0.0,0.0,0,weekend skip
2016-06-14,-60.92,-60.92,0.0,1,
2016-06-15,48.12,0.0,48.12,1,
2016-06-16,-117.21,-117.21,0.0,1,
2016-06-17,-55.72,-55.72,0.0,1,
2016-06-20,0.0,0.0,0.0,0,weekend skip
2016-06-21,33.63,0.0,33.63,1,
2016-06-22,18.08,0.0,18.08,1,
2016-06-23,182.62,0.0,182.62,1,
2016-06-24,-684.14,-684.14,0.0,1,
2016-06-27,0.0,0.0,0.0,0,weekend skip
2016-06-28,212.22,0.0,212.22,1,
2016-06-29,170.67,0.0,170.67,1,
2016-06-30,46.86,0.0,46.86,1,
2016-07-01,-41.1,-41.1,0.0,1,
2016-07-05,0.0,0.0,0.0,0,weekend skip
2016-07-06,-83.88,-83.88,0.0,1,
2016-07-07,6.42,0.0,6.42,1,
2016-07-08,146.61,0.0,146.61,1,
2016-07-11,0.0,0.0,0.0,0,weekend skip
2016-07-12,104.8,0.0,104.8,1,
2016-07-13,30.1,0.0,30.1,1,
2016-07-14,177.88,0.0,177.88,1,
2016-07-15,46.01,0.0,46.01,1,
2016-07-18,0.0,0.0,0.0,0,weekend skip
2016-07-19,-19.88,-19.88,0.0,1,
2016-07-20,54.58,0.0,54.58,1,
2016-07-21,-39.61,-39.61,0.0,1,
2016-07-22,-6.22,-6.22,0.0,1,
2016-07-25,0.0,0.0,0.0,0,weekend skip
2016-07-26,-28.62,-28.62,0.0,1,
