day,entry_px,exit_px,shares,ret_bp,pnl,qty,reason_out
2016-01-05,171.32,171.66,134.3,19.8,45.65,1,open
2016-01-06,171.43,168.89,134.2,-148.2,-340.78,1,open
2016-01-07,169.0,165.93,136.1,-181.7,-417.81,1,open
2016-01-08,165.02,165.93,139.4,55.1,126.83,1,open
2016-01-12,163.86,165.16,140.4,79.3,182.47,1,open
2016-01-13,165.05,165.51,139.4,27.9,64.1,1,open
2016-01-14,161.41,161.99,142.5,35.9,82.65,1,open
2016-01-15,163.59,159.23,140.6,-266.5,-613.0,1,open
2016-01-20,160.01,157.22,143.7,-174.4,-401.04,1,open
2016-01-21,157.61,157.78,145.9,10.8,24.81,1,open
2016-01-22,158.7,160.88,144.9,137.4,315.94,1,open
2016-01-26,158.8,159.47,144.8,42.2,97.04,1,open
2016-01-27,161.6,160.54,142.3,-65.6,-150.87,1,open
2016-01-28,159.31,160.65,144.4,84.1,193.44,1,open
2016-01-29,160.57,161.58,143.2,62.9,144.67,1,open
2016-02-02,164.33,162.67,140.0,-101.0,-232.34,1,open
2016-02-03,161.46,162.39,142.5,57.6,132.48,1,open
2016-02-04,163.27,162.79,140.9,-29.4,-67.62,1,open
2016-02-05,164.14,163.84,140.1,-18.3,-42.04,1,open
2016-02-09,160.37,158.51,143.4,-116.0,-266.76,1,open
2016-02-10,160.29,160.95,143.5,41.2,94.7,1,open
2016-02-11,159.46,156.77,144.2,-168.7,-388.0,1,open
2016-02-12,156.9,158.13,146.6,78.4,180.31,1,open
2016-02-17,162.27,163.43,141.7,71.5,164.42,1,open
2016-02-18,164.95,165.3,139.4,21.2,48.8,1,open
2016-02-19,164.53,163.15,139.8,-83.9,-192.91,1,open
2016-02-23,165.99,165.58,138.6,-24.7,-56.81,1,open
2016-02-24,164.15,162.57,140.1,-96.3,-221.38,1,open
2016-02-25,164.68,165.0,139.7,19.4,44.69,1,open
2016-02-26,166.86,167.81,137.8,56.9,130.95,1,open
2016-03-01,165.06,165.98,139.3,55.7,128.2,1,open
2016-03-02,168.53,168.01,136.5,-30.9,-70.97,1,open
2016-03-03,168.91,168.7,136.2,-12.4,-28.6,1,open
2016-03-04,169.41,169.5,135.8,5.3,12.22,1,open
2016-03-08,170.64,169.77,134.8,-51.0,-117.26,1,open
2016-03-09,169.71,170.38,135.5,39.5,90.8,1,open
2016-03-10,170.08,170.64,135.2,32.9,75.73,1,open
2016-03-11,170.1,171.44,135.2,78.8,181.19,1,open
2016-03-15,172.44,171.58,133.4,-49.9,-114.71,1,open
2016-03-16,172.68,172.18,133.2,-29.0,-66.6,1,open
2016-03-17,173.49,173.43,132.6,-3.5,-7.95,1,open
2016-03-18,174.97,175.24,131.5,15.4,35.49,1,open
2016-03-22,176.02,175.27,130.7,-42.6,-98.0,1,open
2016-03-23,175.67,175.19,130.9,-27.3,-62.85,1,open
2016-03-24,174.85,173.82,131.5,-58.9,-135.49,1,open
2016-03-28,174.94,175.1,131.5,9.1,21.04,1,open
2016-03-29,175.15,174.46,131.3,-39.4,-90.61,1,open
2016-03-30,176.13,177.09,130.6,54.5,125.36,1,open
2016-03-31,176.96,176.9,130.0,-3.4,-7.8,1,open
2016-04-01,176.66,175.68,130.2,-55.5,-127.59,1,open
2016-04-05,177.18,176.05,129.8,-63.8,-146.69,1,open
2016-04-06,175.85,175.83,130.8,-1.1,-2.62,1,open
2016-04-07,177.05,175.77,129.9,-72.3,-166.28,1,open
