  DIA 2016-01-04..2016-02-01: 8,614 bars
  DIA 2016-02-01..2016-03-01: 8,653 bars
  DIA 2016-03-01..2016-04-01: 9,157 bars
  DIA 2016-04-01..2016-05-01: 8,821 bars
  DIA 2016-05-01..2016-06-01: 8,632 bars
  DIA 2016-06-01..2016-07-01: 9,390 bars
  DIA 2016-07-01..2016-08-01: 8,400 bars
  DIA 2016-08-01..2016-09-01: 9,204 bars
  DIA 2016-09-01..2016-10-01: 8,651 bars
  DIA 2016-10-01..2016-11-01: 8,592 bars
  DIA 2016-11-01..2016-12-01: 8,911 bars
  DIA 2016-12-01..2017-01-01: 8,907 bars
  DIA 2017-01-01..2017-02-01: 8,500 bars
  DIA 2017-02-01..2017-03-01: 8,061 bars
  DIA 2017-03-01..2017-04-01: 9,601 bars
  DIA 2017-04-01..2017-05-01: 8,114 bars
  DIA 2017-05-01..2017-06-01: 9,116 bars
  DIA 2017-06-01..2017-07-01: 8,998 bars
  DIA 2017-07-01..2017-08-01: 7,927 bars
  DIA 2017-08-01..2017-09-01: 9,661 bars
  DIA 2017-09-01..2017-10-01: 8,091 bars
  DIA 2017-10-01..2017-11-01: 9,412 bars
  DIA 2017-11-01..2017-12-01: 8,912 bars
  DIA 2017-12-01..2018-01-01: 8,708 bars
  DIA 2018-01-01..2018-02-01: 9,592 bars
  DIA 2018-02-01..2018-03-01: 9,590 bars
  DIA 2018-03-01..2018-04-01: 10,031 bars
  DIA 2018-04-01..2018-05-01: 9,930 bars
  DIA 2018-05-01..2018-06-01: 9,953 bars
  DIA 2018-06-01..2018-07-01: 9,786 bars
  DIA 2018-07-01..2018-08-01: 9,483 bars
  DIA 2018-08-01..2018-09-01: 9,909 bars
  DIA 2018-09-01..2018-10-01: 8,165 bars
  DIA 2018-10-01..2018-11-01: 10,813 bars
  DIA 2018-11-01..2018-12-01: 9,627 bars
  DIA 2018-12-01..2019-01-01: 9,398 bars
  DIA 2019-01-01..2019-02-01: 9,930 bars
  DIA 2019-02-01..2019-03-01: 8,637 bars
  DIA 2019-03-01..2019-04-01: 9,541 bars
  DIA 2019-04-01..2019-05-01: 9,300 bars
  DIA 2019-05-01..2019-06-01: 10,198 bars
  DIA 2019-06-01..2019-07-01: 8,780 bars
  DIA 2019-07-01..2019-08-01: 9,210 bars
  DIA 2019-08-01..2019-09-01: 10,156 bars
  DIA 2019-09-01..2019-10-01: 8,737 bars
  DIA 2019-10-01..2019-11-01: 10,102 bars
  DIA 2019-11-01..2019-12-01: 8,391 bars
  DIA 2019-12-01..2020-01-01: 9,036 bars
  DIA 2020-01-01..2020-02-01: 9,724 bars
  DIA 2020-02-01..2020-03-01: 9,765 bars
  DIA 2020-03-01..2020-04-01: 14,624 bars
  DIA 2020-04-01..2020-05-01: 12,791 bars
  DIA 2020-05-01..2020-06-01: 11,087 bars
  DIA 2020-06-01..2020-07-01: 12,860 bars
  DIA 2020-07-01..2020-08-01: 11,735 bars
  DIA 2020-08-01..2020-09-01: 10,239 bars
  DIA 2020-09-01..2020-10-01: 10,727 bars
  DIA 2020-10-01..2020-11-01: 11,422 bars
  DIA 2020-11-01..2020-12-01: 11,131 bars
  DIA 2020-12-01..2021-01-01: 10,979 bars
  DIA 2021-01-01..2021-02-01: 9,900 bars
  DIA 2021-02-01..2021-03-01: 9,291 bars
  DIA 2021-03-01..2021-04-01: 11,984 bars
  DIA 2021-04-01..2021-05-01: 9,983 bars
