day,pnl,low,high,trades,halted
2016-01-05,192.52,0.0,192.52,1,
2016-01-06,-841.12,-841.12,0.0,1,
2016-01-07,-1084.14,-1084.14,0.0,1,
2016-01-08,358.44,0.0,358.44,1,
2016-01-11,0.0,0.0,0.0,0,weekend skip
2016-01-12,439.29,0.0,439.29,1,
2016-01-13,185.63,0.0,185.63,1,
2016-01-14,177.59,0.0,177.59,1,
2016-01-15,-1694.87,-1694.87,0.0,1,
2016-01-19,0.0,0.0,0.0,0,weekend skip
2016-01-20,-800.36,-800.36,0.0,1,
2016-01-21,189.5,0.0,189.5,1,
2016-01-22,952.44,0.0,952.44,1,
2016-01-25,0.0,0.0,0.0,0,weekend skip
2016-01-26,167.19,0.0,167.19,1,
2016-01-27,-323.68,-323.68,0.0,1,
2016-01-28,781.32,0.0,781.32,1,
2016-01-29,5.88,0.0,5.88,1,
2016-02-01,0.0,0.0,0.0,0,weekend skip
2016-02-02,-214.56,-214.56,0.0,1,
2016-02-03,294.58,0.0,294.58,1,
2016-02-04,-176.03,-176.03,0.0,1,
2016-02-05,-190.83,-190.83,0.0,1,
2016-02-08,0.0,0.0,0.0,0,weekend skip
2016-02-09,-671.57,-671.57,0.0,1,
2016-02-10,597.95,0.0,597.95,1,
2016-02-11,-670.95,-670.95,0.0,1,
2016-02-12,534.0,0.0,534.0,1,
2016-02-16,0.0,0.0,0.0,0,weekend skip
2016-02-17,410.35,0.0,410.35,1,
2016-02-18,142.44,0.0,142.44,1,
2016-02-19,-230.86,-230.86,0.0,1,
2016-02-22,0.0,0.0,0.0,0,weekend skip
2016-02-23,-308.84,-308.84,0.0,1,
2016-02-24,-589.46,-589.46,0.0,1,
2016-02-25,83.85,0.0,83.85,1,
2016-02-26,338.94,0.0,338.94,1,
2016-02-29,0.0,0.0,0.0,0,weekend skip
2016-03-01,425.12,0.0,425.12,1,
2016-03-02,-88.85,-88.85,0.0,1,
2016-03-03,-62.84,-62.84,0.0,1,
2016-03-04,43.54,0.0,43.54,1,
2016-03-07,0.0,0.0,0.0,0,weekend skip
2016-03-08,-365.54,-365.54,0.0,1,
2016-03-09,192.99,0.0,192.99,1,
2016-03-10,215.57,0.0,215.57,1,
2016-03-11,516.67,0.0,516.67,1,
2016-03-14,0.0,0.0,0.0,0,weekend skip
2016-03-15,-191.26,-191.26,0.0,1,
2016-03-16,-135.04,-135.04,0.0,1,
2016-03-17,-166.36,-166.36,0.0,1,
2016-03-18,-31.63,-31.63,0.0,1,
2016-03-21,0.0,0.0,0.0,0,weekend skip
2016-03-22,-291.28,-291.28,0.0,1,
2016-03-23,-100.82,-100.82,0.0,1,
2016-03-24,-274.15,-274.15,0.0,1,
2016-03-28,126.78,0.0,126.78,1,
2016-03-29,-106.4,-106.4,0.0,1,
2016-03-30,294.99,0.0,294.99,1,
2016-03-31,-49.37,-49.37,0.0,1,
2016-04-01,-296.68,-296.68,0.0,1,
2016-04-04,0.0,0.0,0.0,0,weekend skip
2016-04-05,-381.22,-381.22,0.0,1,
2016-04-06,28.46,0.0,28.46,1,
2016-04-07,-299.5,-299.5,0.0,1,
2016-04-08,326.46,0.0,326.46,1,
2016-04-11,0.0,0.0,0.0,0,weekend skip
2016-04-12,5.52,0.0,5.52,1,
2016-04-13,356.98,0.0,356.98,1,
2016-04-14,-21.63,-21.63,0.0,1,
2016-04-15,-57.69,-57.69,0.0,1,
2016-04-18,0.0,0.0,0.0,0,weekend skip
2016-04-19,81.81,0.0,81.81,1,
2016-04-20,-12.66,-12.66,0.0,1,
2016-04-21,-30.73,-30.73,0.0,1,
2016-04-22,-654.38,-654.38,0.0,1,
2016-04-25,0.0,0.0,0.0,0,weekend skip
2016-04-26,88.08,0.0,88.08,1,
2016-04-27,-542.91,-542.91,0.0,1,
2016-04-28,28.81,0.0,28.81,1,
2016-04-29,-60.19,-60.19,0.0,1,
2016-05-02,0.0,0.0,0.0,0,weekend skip
2016-05-03,-369.16,-369.16,0.0,1,
2016-05-04,-306.39,-306.39,0.0,1,
2016-05-05,167.52,0.0,167.52,1,
2016-05-06,-265.59,-265.59,0.0,1,
2016-05-09,0.0,0.0,0.0,0,weekend skip
2016-05-10,170.95,0.0,170.95,1,
2016-05-11,-96.88,-96.88,0.0,1,
2016-05-12,127.83,0.0,127.83,1,
2016-05-13,-41.54,-41.54,0.0,1,
2016-05-16,0.0,0.0,0.0,0,weekend skip
2016-05-17,-50.55,-50.55,0.0,1,
2016-05-18,-108.06,-108.06,0.0,1,
2016-05-19,-206.86,-206.86,0.0,1,
2016-05-20,186.08,0.0,186.08,1,
2016-05-23,0.0,0.0,0.0,0,weekend skip
2016-05-24,273.7,0.0,273.7,1,
2016-05-25,171.48,0.0,171.48,1,
2016-05-26,28.37,0.0,28.37,1,
2016-05-27,32.86,0.0,32.86,1,
2016-05-31,0.0,0.0,0.0,0,weekend skip
2016-06-01,-180.29,-180.29,0.0,1,
2016-06-02,-112.36,-112.36,0.0,1,
2016-06-03,-112.12,-112.12,0.0,1,
2016-06-06,0.0,0.0,0.0,0,weekend skip
2016-06-07,23.54,0.0,23.54,1,
2016-06-08,64.42,0.0,64.42,1,
2016-06-09,-212.0,-212.0,0.0,1,
2016-06-10,-461.89,-461.89,0.0,1,
2016-06-13,0.0,0.0,0.0,0,weekend skip
2016-06-14,-133.27,-133.27,0.0,1,
2016-06-15,121.24,0.0,121.24,1,
2016-06-16,-272.88,-272.88,0.0,1,
2016-06-17,-239.71,-239.71,0.0,1,
2016-06-20,0.0,0.0,0.0,0,weekend skip
2016-06-21,56.91,0.0,56.91,1,
2016-06-22,38.15,0.0,38.15,1,
2016-06-23,373.83,0.0,373.83,1,
2016-06-24,-1833.07,-1833.07,0.0,1,
2016-06-27,0.0,0.0,0.0,0,weekend skip
2016-06-28,494.63,0.0,494.63,1,
2016-06-29,364.67,0.0,364.67,1,
2016-06-30,90.3,0.0,90.3,1,
2016-07-01,-68.76,-68.76,0.0,1,
2016-07-05,0.0,0.0,0.0,0,weekend skip
2016-07-06,-250.35,-250.35,0.0,1,
2016-07-07,24.0,0.0,24.0,1,
2016-07-08,235.64,0.0,235.64,1,
2016-07-11,0.0,0.0,0.0,0,weekend skip
2016-07-12,280.31,0.0,280.31,1,
2016-07-13,108.49,0.0,108.49,1,
2016-07-14,311.01,0.0,311.01,1,
2016-07-15,99.13,0.0,99.13,1,
2016-07-18,0.0,0.0,0.0,0,weekend skip
2016-07-19,-176.81,-176.81,0.0,1,
2016-07-20,263.96,0.0,263.96,1,
2016-07-21,18.51,0.0,18.51,1,
