day,entry_px,exit_px,shares,ret_bp,pnl,qty,reason_out
2016-01-05,109.6,110.02,456.2,38.5,192.52,1,open
2016-01-06,109.26,107.42,457.6,-168.2,-841.12,1,open
2016-01-07,108.29,105.94,461.7,-216.8,-1084.14,1,open
2016-01-08,104.9,105.65,476.6,71.7,358.44,1,open
2016-01-12,104.37,105.29,479.0,87.9,439.29,1,open
2016-01-13,105.59,105.98,473.5,37.1,185.63,1,open
2016-01-14,101.92,102.28,490.6,35.5,177.59,1,open
2016-01-15,104.08,100.55,480.4,-339.0,-1694.87,1,open
2016-01-20,101.08,99.46,494.7,-160.1,-800.36,1,open
2016-01-21,100.79,101.17,496.1,37.9,189.5,1,open
2016-01-22,100.9,102.82,495.5,190.5,952.44,1,open
2016-01-26,102.28,102.62,488.9,33.4,167.19,1,open
2016-01-27,103.19,102.52,484.5,-64.7,-323.68,1,open
2016-01-28,100.6,102.17,497.0,156.3,781.32,1,open
2016-01-29,101.99,102.0,490.2,1.2,5.88,1,open
2016-02-02,104.4,103.95,478.9,-42.9,-214.56,1,open
2016-02-03,102.18,102.78,489.3,58.9,294.58,1,open
2016-02-04,101.69,101.33,491.7,-35.2,-176.03,1,open
2016-02-05,101.66,101.27,491.8,-38.2,-190.83,1,open
2016-02-09,96.64,95.34,517.4,-134.3,-671.57,1,open
2016-02-10,96.33,97.48,519.1,119.6,597.95,1,open
2016-02-11,96.73,95.43,516.9,-134.2,-670.95,1,open
2016-02-12,96.63,97.66,517.4,106.8,534.0,1,open
2016-02-17,100.16,100.98,499.2,82.1,410.35,1,open
2016-02-18,102.5,102.79,487.8,28.5,142.44,1,open
2016-02-19,101.36,100.89,493.3,-46.2,-230.86,1,open
2016-02-23,103.29,102.65,484.1,-61.8,-308.84,1,open
2016-02-24,101.62,100.42,492.0,-117.9,-589.46,1,open
2016-02-25,102.57,102.74,487.5,16.8,83.85,1,open
2016-02-26,103.56,104.26,482.8,67.8,338.94,1,open
2016-03-01,102.56,103.43,487.5,85.0,425.12,1,open
2016-03-02,105.8,105.61,472.6,-17.8,-88.85,1,open
2016-03-03,105.82,105.69,472.5,-12.6,-62.84,1,open
2016-03-04,105.64,105.73,473.3,8.7,43.54,1,open
2016-03-08,105.05,104.28,476.0,-73.1,-365.54,1,open
2016-03-09,104.15,104.55,480.1,38.6,192.99,1,open
2016-03-10,104.84,105.29,476.9,43.1,215.57,1,open
2016-03-11,104.7,105.78,477.6,103.3,516.67,1,open
2016-03-15,106.66,106.25,468.8,-38.3,-191.26,1,open
2016-03-16,106.64,106.35,468.9,-27.0,-135.04,1,open
2016-03-17,107.6,107.24,464.7,-33.3,-166.36,1,open
2016-03-18,107.51,107.44,465.1,-6.3,-31.63,1,open
2016-03-22,107.8,107.17,463.8,-58.3,-291.28,1,open
2016-03-23,108.11,107.89,462.5,-20.2,-100.82,1,open
2016-03-24,107.24,106.65,466.2,-54.8,-274.15,1,open
2016-03-28,107.27,107.54,466.1,25.4,126.78,1,open
2016-03-29,107.14,106.91,466.7,-21.3,-106.4,1,open
2016-03-30,108.82,109.46,459.5,59.0,294.99,1,open
2016-03-31,109.39,109.28,457.1,-9.9,-49.37,1,open
2016-04-01,109.21,108.56,457.8,-59.3,-296.68,1,open
2016-04-05,109.91,109.07,454.9,-76.2,-381.22,1,open
2016-04-06,108.92,108.98,459.1,5.7,28.46,1,open
2016-04-07,110.68,110.02,451.7,-59.9,-299.5,1,open
2016-04-08,109.05,109.76,458.5,65.3,326.46,1,open
2016-04-12,108.63,108.64,460.3,1.1,5.52,1,open
2016-04-13,109.53,110.31,456.5,71.4,356.98,1,open
2016-04-14,110.94,110.89,450.7,-4.3,-21.63,1,open
2016-04-15,110.94,110.81,450.7,-11.5,-57.69,1,open
2016-04-19,111.24,111.42,449.5,16.4,81.81,1,open
2016-04-20,110.55,110.52,452.3,-2.5,-12.66,1,open
2016-04-21,110.64,110.57,451.9,-6.1,-30.73,1,open
2016-04-22,110.64,109.19,451.9,-130.9,-654.38,1,open
2016-04-26,108.99,109.18,458.8,17.6,88.08,1,open
