,S1,ONA,ONB,combined
2016-01-05,0.0,34.89,45.65,80.53999999999999
2016-01-06,0.0,-173.05,-340.78,-513.8299999999999
2016-01-07,-18.48,-217.05,-417.81,-653.34
2016-01-08,-118.36,19.3,126.83,27.769999999999996
2016-01-11,-107.92,0.0,0.0,-107.92
2016-01-12,0.0,80.0,182.47,262.47
2016-01-13,628.38,10.41,64.1,702.89
2016-01-14,33.08,47.8,82.65,163.53
2016-01-15,0.0,-321.89,-613.0,-934.89
2016-01-19,0.0,0.0,0.0,0.0
2016-01-20,-153.72,-176.05,-401.04,-730.81
2016-01-21,-215.3,10.89,24.81,-179.60000000000002
2016-01-22,0.0,196.37,315.94,512.31
2016-01-25,0.0,0.0,0.0,0.0
2016-01-26,0.0,37.51,97.04,134.55
2016-01-27,-150.75,-68.82,-150.87,-370.44
2016-01-28,0.0,96.88,193.44,290.32
2016-01-29,362.1,34.9,144.67,541.67
2016-02-01,0.0,0.0,0.0,0.0
2016-02-02,164.38,-145.12,-232.34,-213.08
2016-02-03,-274.78,83.74,132.48,-58.559999999999974
2016-02-04,0.0,-56.16,-67.62,-123.78
2016-02-05,580.32,-63.07,-42.04,475.21
2016-02-08,-47.08,0.0,0.0,-47.08
2016-02-09,0.0,-166.73,-266.76,-433.49
2016-02-10,-59.92,68.85,94.7,103.63
2016-02-11,0.0,-222.91,-388.0,-610.91
2016-02-12,0.0,99.96,180.31,280.27
2016-02-16,0.0,0.0,0.0,0.0
2016-02-17,84.32,71.56,164.42,320.29999999999995
2016-02-18,0.0,0.0,48.8,48.8
2016-02-19,0.0,-51.62,-192.91,-244.53
2016-02-22,0.0,0.0,0.0,0.0
2016-02-23,0.0,-50.78,-56.81,-107.59
2016-02-24,0.0,-129.92,-221.38,-351.29999999999995
2016-02-25,0.0,12.99,44.69,57.68
2016-02-26,0.0,53.82,130.95,184.76999999999998
2016-02-29,-46.92,0.0,0.0,-46.92
2016-03-01,212.76,93.39,128.2,434.34999999999997
2016-03-02,0.0,-21.73,-70.97,-92.7
2016-03-03,-94.48,-6.79,-28.6,-129.87
2016-03-04,-66.6,-7.84,12.22,-62.22
2016-03-07,-7.13,0.0,0.0,-7.13
2016-03-08,0.0,-77.1,-117.26,-194.36
2016-03-09,0.0,35.0,90.8,125.8
2016-03-10,-175.79,24.71,75.73,-75.34999999999998
2016-03-11,0.0,88.32,181.19,269.51
2016-03-14,0.0,0.0,0.0,0.0
2016-03-15,0.0,-78.93,-114.71,-193.64
2016-03-16,70.18,-69.98,-66.6,-66.39999999999999
2016-03-17,0.0,-34.76,-7.95,-42.71
2016-03-18,-184.8,8.84,35.49,-140.47
2016-03-21,0.0,0.0,0.0,0.0
2016-03-22,-7.28,-69.12,-98.0,-174.4
2016-03-23,-13.16,-84.56,-62.85,-160.57
2016-03-24,0.0,-76.35,-135.49,-211.84
2016-03-28,0.0,19.03,21.04,40.07
2016-03-29,441.04,-38.01,-90.61,312.42
2016-03-30,-166.17,55.46,125.36,14.65000000000002
2016-03-31,0.0,8.7,-7.8,0.8999999999999995
2016-04-01,97.59,-114.93,-127.59,-144.93
2016-04-04,-62.16,0.0,0.0,-62.16
2016-04-05,0.0,-97.97,-146.69,-244.66
2016-04-06,229.08,-11.01,-2.62,215.45000000000002
2016-04-07,26.56,-94.73,-166.28,-234.45
2016-04-08,0.0,94.93,120.68,215.61
2016-04-11,-168.48,0.0,0.0,-168.48
2016-04-12,-159.36,-3.31,28.84,-133.83
2016-04-13,-75.9,61.09,115.6,100.78999999999999
2016-04-14,0.0,-13.88,9.0,-4.880000000000001
2016-04-15,0.0,-39.56,-24.39,-63.95
2016-04-18,-115.2,0.0,0.0,-115.2
2016-04-19,-162.02,14.82,37.09,-110.11000000000001
2016-04-20,-56.24,-5.29,-44.64,-106.17
2016-04-21,-148.8,-22.17,-22.9,-193.87000000000003
2016-04-22,-41.42,-4.25,-15.36,-61.03
2016-04-25,0.0,0.0,0.0,0.0
2016-04-26,22.2,37.07,25.61,84.88
2016-04-27,-89.88,-5.24,-78.07,-173.19
2016-04-28,-172.65,-65.82,-159.47,-397.94
2016-04-29,-366.9,-56.03,-109.7,-532.63
2016-05-02,90.78,0.0,0.0,90.78
2016-05-03,0.0,-107.69,-173.73,-281.41999999999996
2016-05-04,0.0,-75.23,-124.53,-199.76
2016-05-05,0.0,41.18,57.38,98.56
2016-05-06,0.0,-54.4,-106.87,-161.27
2016-05-09,-219.31,0.0,0.0,-219.31
2016-05-10,177.48,42.07,83.14,302.69
2016-05-11,102.2,-28.84,-70.58,2.780000000000001
2016-05-12,-63.48,21.63,57.07,15.220000000000006
2016-05-13,-298.22,-41.3,-72.59,-412.11
2016-05-16,188.0,0.0,0.0,188.0
2016-05-17,199.06,-27.0,-44.11,127.95
2016-05-18,-201.6,-60.37,-69.43,-331.4
2016-05-19,-23.31,-95.03,-92.98,-211.32
2016-05-20,-20.88,30.28,-6.58,2.820000000000002
2016-05-23,0.0,0.0,0.0,0.0
2016-05-24,302.18,66.15,119.72,488.05000000000007
2016-05-25,0.0,29.74,85.83,115.57
2016-05-26,0.0,16.9,21.93,38.83
2016-05-27,0.0,1.06,10.33,11.39
2016-05-31,0.0,0.0,0.0,0.0
2016-06-01,0.0,-44.88,-100.94,-145.82
2016-06-02,-154.56,-38.33,-65.98,-258.87
2016-06-03,-119.54,-34.97,-61.91,-216.42
2016-06-06,0.0,0.0,0.0,0.0
2016-06-07,0.0,-1.02,30.81,29.79
2016-06-08,0.0,4.08,28.2,32.28
2016-06-09,0.0,-58.74,-93.24,-151.98
2016-06-10,-13.34,-117.25,-154.71,-285.3
2016-06-13,0.0,0.0,0.0,0.0
2016-06-14,-377.34,-48.08,-60.92,-486.34
2016-06-15,0.0,37.73,48.12,85.85
2016-06-16,-273.99,-96.33,-117.21,-487.53
2016-06-17,164.58,-23.04,-55.72,85.82000000000002
2016-06-20,-32.92,0.0,0.0,-32.92
2016-06-21,-184.8,-6.24,33.63,-157.41000000000003
2016-06-22,-187.06,17.72,18.08,-151.26
2016-06-23,-38.48,119.34,182.62,263.48
2016-06-24,0.0,-513.24,-684.14,-1197.38
2016-06-27,165.24,0.0,0.0,165.24
2016-06-28,-23.52,101.55,212.22,290.25
2016-06-29,17.1,133.65,170.67,321.41999999999996
2016-06-30,0.78,15.94,46.86,63.58
2016-07-01,-104.76,-1.04,-41.1,-146.9
2016-07-05,3.48,0.0,0.0,3.48
2016-07-06,-42.66,-130.83,-83.88,-257.37
2016-07-07,0.0,20.0,6.42,26.42
2016-07-08,133.02,102.95,146.61,382.58000000000004
2016-07-11,-51.48,0.0,0.0,-51.48
2016-07-12,0.0,78.18,104.8,182.98000000000002
2016-07-13,0.0,54.11,30.1,84.21000000000001
2016-07-14,0.0,98.59,177.88,276.47
2016-07-15,0.0,45.22,46.01,91.22999999999999
