,ONA,ONB,combined
2016-01-05,34.89,45.65,80.53999999999999
2016-01-06,-173.05,-340.78,-513.8299999999999
2016-01-07,-217.05,-417.81,-634.86
2016-01-08,19.3,126.83,146.13
2016-01-11,0.0,0.0,0.0
2016-01-12,80.0,182.47,262.47
2016-01-13,10.41,64.1,74.50999999999999
2016-01-14,47.8,82.65,130.45
2016-01-15,-321.89,-613.0,-934.89
2016-01-19,0.0,0.0,0.0
2016-01-20,-176.05,-401.04,-577.09
2016-01-21,10.89,24.81,35.7
2016-01-22,196.37,315.94,512.31
2016-01-25,0.0,0.0,0.0
2016-01-26,37.51,97.04,134.55
2016-01-27,-68.82,-150.87,-219.69
2016-01-28,96.88,193.44,290.32
2016-01-29,34.9,144.67,179.57
2016-02-01,0.0,0.0,0.0
2016-02-02,-145.12,-232.34,-377.46000000000004
2016-02-03,83.74,132.48,216.21999999999997
2016-02-04,-56.16,-67.62,-123.78
2016-02-05,-63.07,-42.04,-105.11
2016-02-08,0.0,0.0,0.0
2016-02-09,-166.73,-266.76,-433.49
2016-02-10,68.85,94.7,163.55
2016-02-11,-222.91,-388.0,-610.91
2016-02-12,99.96,180.31,280.27
2016-02-16,0.0,0.0,0.0
2016-02-17,71.56,164.42,235.98
2016-02-18,0.0,48.8,48.8
2016-02-19,-51.62,-192.91,-244.53
2016-02-22,0.0,0.0,0.0
2016-02-23,-50.78,-56.81,-107.59
2016-02-24,-129.92,-221.38,-351.29999999999995
2016-02-25,12.99,44.69,57.68
2016-02-26,53.82,130.95,184.76999999999998
2016-02-29,0.0,0.0,0.0
2016-03-01,93.39,128.2,221.58999999999997
2016-03-02,-21.73,-70.97,-92.7
2016-03-03,-6.79,-28.6,-35.39
2016-03-04,-7.84,12.22,4.380000000000001
2016-03-07,0.0,0.0,0.0
2016-03-08,-77.1,-117.26,-194.36
2016-03-09,35.0,90.8,125.8
2016-03-10,24.71,75.73,100.44
2016-03-11,88.32,181.19,269.51
2016-03-14,0.0,0.0,0.0
2016-03-15,-78.93,-114.71,-193.64
2016-03-16,-69.98,-66.6,-136.57999999999998
2016-03-17,-34.76,-7.95,-42.71
2016-03-18,8.84,35.49,44.33
2016-03-21,0.0,0.0,0.0
2016-03-22,-69.12,-98.0,-167.12
2016-03-23,-84.56,-62.85,-147.41
2016-03-24,-76.35,-135.49,-211.84
2016-03-28,19.03,21.04,40.07
2016-03-29,-38.01,-90.61,-128.62
2016-03-30,55.46,125.36,180.82
2016-03-31,8.7,-7.8,0.8999999999999995
2016-04-01,-114.93,-127.59,-242.52
2016-04-04,0.0,0.0,0.0
2016-04-05,-97.97,-146.69,-244.66
2016-04-06,-11.01,-2.62,-13.629999999999999
2016-04-07,-94.73,-166.28,-261.01
2016-04-08,94.93,120.68,215.61
2016-04-11,0.0,0.0,0.0
2016-04-12,-3.31,28.84,25.53
2016-04-13,61.09,115.6,176.69
2016-04-14,-13.88,9.0,-4.880000000000001
2016-04-15,-39.56,-24.39,-63.95
2016-04-18,0.0,0.0,0.0
2016-04-19,14.82,37.09,51.910000000000004
2016-04-20,-5.29,-44.64,-49.93
2016-04-21,-22.17,-22.9,-45.07
2016-04-22,-4.25,-15.36,-19.61
2016-04-25,0.0,0.0,0.0
2016-04-26,37.07,25.61,62.68
2016-04-27,-5.24,-78.07,-83.30999999999999
2016-04-28,-65.82,-159.47,-225.29
2016-04-29,-56.03,-109.7,-165.73000000000002
2016-05-02,0.0,0.0,0.0
2016-05-03,-107.69,-173.73,-281.41999999999996
2016-05-04,-75.23,-124.53,-199.76
2016-05-05,41.18,57.38,98.56
2016-05-06,-54.4,-106.87,-161.27
2016-05-09,0.0,0.0,0.0
2016-05-10,42.07,83.14,125.21000000000001
2016-05-11,-28.84,-70.58,-99.42
2016-05-12,21.63,57.07,78.7
2016-05-13,-41.3,-72.59,-113.89
2016-05-16,0.0,0.0,0.0
2016-05-17,-27.0,-44.11,-71.11
2016-05-18,-60.37,-69.43,-129.8
2016-05-19,-95.03,-92.98,-188.01
2016-05-20,30.28,-6.58,23.700000000000003
2016-05-23,0.0,0.0,0.0
2016-05-24,66.15,119.72,185.87
2016-05-25,29.74,85.83,115.57
2016-05-26,16.9,21.93,38.83
2016-05-27,1.06,10.33,11.39
2016-05-31,0.0,0.0,0.0
2016-06-01,-44.88,-100.94,-145.82
2016-06-02,-38.33,-65.98,-104.31
2016-06-03,-34.97,-61.91,-96.88
2016-06-06,0.0,0.0,0.0
2016-06-07,-1.02,30.81,29.79
2016-06-08,4.08,28.2,32.28
2016-06-09,-58.74,-93.24,-151.98
2016-06-10,-117.25,-154.71,-271.96000000000004
2016-06-13,0.0,0.0,0.0
2016-06-14,-48.08,-60.92,-109.0
2016-06-15,37.73,48.12,85.85
2016-06-16,-96.33,-117.21,-213.54
2016-06-17,-23.04,-55.72,-78.75999999999999
2016-06-20,0.0,0.0,0.0
2016-06-21,-6.24,33.63,27.39
2016-06-22,17.72,18.08,35.8
2016-06-23,119.34,182.62,301.96000000000004
2016-06-24,-513.24,-684.14,-1197.38
2016-06-27,0.0,0.0,0.0
2016-06-28,101.55,212.22,313.77
2016-06-29,133.65,170.67,304.32
2016-06-30,15.94,46.86,62.8
2016-07-01,-1.04,-41.1,-42.14
2016-07-05,0.0,0.0,0.0
2016-07-06,-130.83,-83.88,-214.71
2016-07-07,20.0,6.42,26.42
2016-07-08,102.95,146.61,249.56
2016-07-11,0.0,0.0,0.0
2016-07-12,78.18,104.8,182.98000000000002
2016-07-13,54.11,30.1,84.21000000000001
2016-07-14,98.59,177.88,276.47
2016-07-15,45.22,46.01,91.22999999999999
2016-07-18,0.0,0.0,0.0
2016-07-19,-21.01,-19.88,-40.89
2016-07-20,24.14,54.58,78.72
2016-07-21,-16.98,-39.61,-56.59
2016-07-22,-1.0,-6.22,-7.22
2016-07-25,0.0,0.0,0.0
